config,app,input,threads,run,time_s,status
clang-plain,bfs,kron22,8,1,0.09320,ok
clang-plainje,bfs,kron22,8,1,0.09341,ok
clang-chonk,bfs,kron22,8,1,0.09557,ok
clang-plain,bfs,kron22,8,2,0.09760,ok
clang-plainje,bfs,kron22,8,2,0.09427,ok
clang-chonk,bfs,kron22,8,2,0.09873,ok
clang-plain,bfs,kron22,8,3,0.09344,ok
clang-plainje,bfs,kron22,8,3,0.09574,ok
clang-chonk,bfs,kron22,8,3,0.09967,ok
clang-plain,bfs,kron22,8,4,0.09355,ok
clang-plainje,bfs,kron22,8,4,0.09644,ok
clang-chonk,bfs,kron22,8,4,0.09545,ok
clang-plain,bfs,kron22,8,5,0.09353,ok
clang-plainje,bfs,kron22,8,5,0.09770,ok
clang-chonk,bfs,kron22,8,5,0.09542,ok
clang-plain,bfs,kron22,8,6,0.09663,ok
clang-plainje,bfs,kron22,8,6,0.09320,ok
clang-chonk,bfs,kron22,8,6,0.09787,ok
clang-plain,bfs,kron22,8,7,0.09764,ok
clang-plainje,bfs,kron22,8,7,0.09453,ok
clang-chonk,bfs,kron22,8,7,0.09865,ok
clang-plain,bfs,kron22,8,8,0.09852,ok
clang-plainje,bfs,kron22,8,8,0.09504,ok
clang-chonk,bfs,kron22,8,8,0.09523,ok
clang-plain,bfs,kron22,8,9,0.09415,ok
clang-plainje,bfs,kron22,8,9,0.09658,ok
clang-chonk,bfs,kron22,8,9,0.09553,ok
clang-plain,bfs,kron22,8,10,0.09328,ok
clang-plainje,bfs,kron22,8,10,0.09792,ok
clang-chonk,bfs,kron22,8,10,0.09558,ok
clang-plain,cc,kron22,8,1,0.16683,ok
clang-plainje,cc,kron22,8,1,0.17559,ok
clang-chonk,cc,kron22,8,1,0.15336,ok
clang-plain,cc,kron22,8,2,0.16157,ok
clang-plainje,cc,kron22,8,2,0.15803,ok
clang-chonk,cc,kron22,8,2,0.17545,ok
clang-plain,cc,kron22,8,3,0.15491,ok
clang-plainje,cc,kron22,8,3,0.16642,ok
clang-chonk,cc,kron22,8,3,0.15301,ok
clang-plain,cc,kron22,8,4,0.17760,ok
clang-plainje,cc,kron22,8,4,0.15483,ok
clang-chonk,cc,kron22,8,4,0.16873,ok
clang-plain,cc,kron22,8,5,0.17695,ok
clang-plainje,cc,kron22,8,5,0.15506,ok
clang-chonk,cc,kron22,8,5,0.15370,ok
clang-plain,cc,kron22,8,6,0.15540,ok
clang-plainje,cc,kron22,8,6,0.15896,ok
clang-chonk,cc,kron22,8,6,0.16062,ok
clang-plain,cc,kron22,8,7,0.16442,ok
clang-plainje,cc,kron22,8,7,0.17650,ok
clang-chonk,cc,kron22,8,7,0.15451,ok
clang-plain,cc,kron22,8,8,0.16642,ok
clang-plainje,cc,kron22,8,8,0.17434,ok
clang-chonk,cc,kron22,8,8,0.16544,ok
clang-plain,cc,kron22,8,9,0.15902,ok
clang-plainje,cc,kron22,8,9,0.16859,ok
clang-chonk,cc,kron22,8,9,0.17448,ok
clang-plain,cc,kron22,8,10,0.17728,ok
clang-plainje,cc,kron22,8,10,0.16039,ok
clang-chonk,cc,kron22,8,10,0.16746,ok
clang-plain,pr,kron22,8,1,1.52248,ok
clang-plainje,pr,kron22,8,1,1.50559,ok
clang-chonk,pr,kron22,8,1,1.46511,ok
clang-plain,pr,kron22,8,2,1.45049,ok
clang-plainje,pr,kron22,8,2,1.44050,ok
clang-chonk,pr,kron22,8,2,1.46718,ok
clang-plain,pr,kron22,8,3,1.45630,ok
clang-plainje,pr,kron22,8,3,1.44115,ok
clang-chonk,pr,kron22,8,3,1.46745,ok
clang-plain,pr,kron22,8,4,1.47826,ok
clang-plainje,pr,kron22,8,4,1.48017,ok
clang-chonk,pr,kron22,8,4,1.49143,ok
clang-plain,pr,kron22,8,5,1.44989,ok
clang-plainje,pr,kron22,8,5,1.50288,ok
clang-chonk,pr,kron22,8,5,1.50019,ok
clang-plain,pr,kron22,8,6,1.45164,ok
clang-plainje,pr,kron22,8,6,1.49807,ok
clang-chonk,pr,kron22,8,6,1.45569,ok
clang-plain,pr,kron22,8,7,1.45021,ok
clang-plainje,pr,kron22,8,7,1.50876,ok
clang-chonk,pr,kron22,8,7,1.51150,ok
clang-plain,pr,kron22,8,8,1.44721,ok
clang-plainje,pr,kron22,8,8,1.48229,ok
clang-chonk,pr,kron22,8,8,1.45288,ok
clang-plain,pr,kron22,8,9,1.51951,ok
clang-plainje,pr,kron22,8,9,1.49192,ok
clang-chonk,pr,kron22,8,9,1.51596,ok
clang-plain,pr,kron22,8,10,1.49367,ok
clang-plainje,pr,kron22,8,10,1.49063,ok
clang-chonk,pr,kron22,8,10,1.46690,ok
clang-plain,bc,kron22,8,1,5.42704,ok
clang-plainje,bc,kron22,8,1,5.38460,ok
clang-chonk,bc,kron22,8,1,5.35679,ok
clang-plain,bc,kron22,8,2,5.38899,ok
clang-plainje,bc,kron22,8,2,5.40711,ok
clang-chonk,bc,kron22,8,2,5.39147,ok
clang-plain,bc,kron22,8,3,5.38447,ok
clang-plainje,bc,kron22,8,3,5.39611,ok
clang-chonk,bc,kron22,8,3,5.35452,ok
clang-plain,bc,kron22,8,4,5.38529,ok
clang-plainje,bc,kron22,8,4,5.39348,ok
clang-chonk,bc,kron22,8,4,5.37006,ok
clang-plain,bc,kron22,8,5,5.41439,ok
clang-plainje,bc,kron22,8,5,5.36052,ok
clang-chonk,bc,kron22,8,5,5.35423,ok
clang-plain,bc,kron22,8,6,5.39922,ok
clang-plainje,bc,kron22,8,6,5.38438,ok
clang-chonk,bc,kron22,8,6,5.41794,ok
clang-plain,bc,kron22,8,7,5.38871,ok
clang-plainje,bc,kron22,8,7,5.39900,ok
clang-chonk,bc,kron22,8,7,5.39363,ok
clang-plain,bc,kron22,8,8,5.38489,ok
clang-plainje,bc,kron22,8,8,5.38997,ok
clang-chonk,bc,kron22,8,8,5.41089,ok
clang-plain,bc,kron22,8,9,5.39032,ok
clang-plainje,bc,kron22,8,9,5.34971,ok
clang-chonk,bc,kron22,8,9,5.36595,ok
clang-plain,bc,kron22,8,10,5.38692,ok
clang-plainje,bc,kron22,8,10,5.36106,ok
clang-chonk,bc,kron22,8,10,5.39174,ok
clang-plain,sssp,kron22,8,1,0.61468,ok
clang-plainje,sssp,kron22,8,1,0.61647,ok
clang-chonk,sssp,kron22,8,1,0.61718,ok
clang-plain,sssp,kron22,8,2,0.60720,ok
clang-plainje,sssp,kron22,8,2,0.61700,ok
clang-chonk,sssp,kron22,8,2,0.60916,ok
clang-plain,sssp,kron22,8,3,0.60469,ok
clang-plainje,sssp,kron22,8,3,0.60677,ok
clang-chonk,sssp,kron22,8,3,0.60713,ok
clang-plain,sssp,kron22,8,4,0.60212,ok
clang-plainje,sssp,kron22,8,4,0.60235,ok
clang-chonk,sssp,kron22,8,4,0.60173,ok
clang-plain,sssp,kron22,8,5,0.61054,ok
clang-plainje,sssp,kron22,8,5,0.61567,ok
clang-chonk,sssp,kron22,8,5,0.61254,ok
clang-plain,sssp,kron22,8,6,0.61648,ok
clang-plainje,sssp,kron22,8,6,0.60933,ok
clang-chonk,sssp,kron22,8,6,0.62493,ok
clang-plain,sssp,kron22,8,7,0.60667,ok
clang-plainje,sssp,kron22,8,7,0.61547,ok
clang-chonk,sssp,kron22,8,7,0.60826,ok
