config,app,input,threads,run,time_s,status
clang-plain,bfs,kron22,4,1,0.09323,ok
clang-plainje,bfs,kron22,4,1,0.09343,ok
clang-chonk,bfs,kron22,4,1,0.09545,ok
clang-plain,bfs,kron22,4,2,0.09356,ok
clang-plainje,bfs,kron22,4,2,0.09786,ok
clang-chonk,bfs,kron22,4,2,0.09552,ok
clang-plain,bfs,kron22,4,3,0.09681,ok
clang-plainje,bfs,kron22,4,3,0.09345,ok
clang-chonk,bfs,kron22,4,3,0.09783,ok
clang-plain,bfs,kron22,4,4,0.09340,ok
clang-plainje,bfs,kron22,4,4,0.09499,ok
clang-chonk,bfs,kron22,4,4,0.09799,ok
clang-plain,bfs,kron22,4,5,0.09366,ok
clang-plainje,bfs,kron22,4,5,0.09329,ok
clang-chonk,bfs,kron22,4,5,0.09535,ok
clang-plain,bfs,kron22,4,6,0.09534,ok
clang-plainje,bfs,kron22,4,6,0.09351,ok
clang-chonk,bfs,kron22,4,6,0.09642,ok
clang-plain,bfs,kron22,4,7,0.09648,ok
clang-plainje,bfs,kron22,4,7,0.09339,ok
clang-chonk,bfs,kron22,4,7,0.09787,ok
clang-plain,bfs,kron22,4,8,0.09800,ok
clang-plainje,bfs,kron22,4,8,0.09440,ok
clang-chonk,bfs,kron22,4,8,0.09601,ok
clang-plain,bfs,kron22,4,9,0.09311,ok
clang-plainje,bfs,kron22,4,9,0.09587,ok
clang-chonk,bfs,kron22,4,9,0.09658,ok
clang-plain,bfs,kron22,4,10,0.09437,ok
clang-plainje,bfs,kron22,4,10,0.09699,ok
clang-chonk,bfs,kron22,4,10,0.09559,ok
clang-plain,cc,kron22,4,1,0.16527,ok
clang-plainje,cc,kron22,4,1,0.15494,ok
clang-chonk,cc,kron22,4,1,0.17480,ok
clang-plain,cc,kron22,4,2,0.15482,ok
clang-plainje,cc,kron22,4,2,0.15514,ok
clang-chonk,cc,kron22,4,2,0.17144,ok
clang-plain,cc,kron22,4,3,0.15664,ok
clang-plainje,cc,kron22,4,3,0.16640,ok
clang-chonk,cc,kron22,4,3,0.17284,ok
clang-plain,cc,kron22,4,4,0.17696,ok
clang-plainje,cc,kron22,4,4,0.15750,ok
clang-chonk,cc,kron22,4,4,0.16576,ok
clang-plain,cc,kron22,4,5,0.17561,ok
clang-plainje,cc,kron22,4,5,0.17704,ok
clang-chonk,cc,kron22,4,5,0.15816,ok
clang-plain,cc,kron22,4,6,0.16883,ok
clang-plainje,cc,kron22,4,6,0.15477,ok
clang-chonk,cc,kron22,4,6,0.15333,ok
clang-plain,cc,kron22,4,7,0.15757,ok
clang-plainje,cc,kron22,4,7,0.17492,ok
clang-chonk,cc,kron22,4,7,0.15334,ok
clang-plain,cc,kron22,4,8,0.16166,ok
clang-plainje,cc,kron22,4,8,0.17010,ok
clang-chonk,cc,kron22,4,8,0.16103,ok
clang-plain,cc,kron22,4,9,0.15667,ok
clang-plainje,cc,kron22,4,9,0.15468,ok
clang-chonk,cc,kron22,4,9,0.17472,ok
clang-plain,cc,kron22,4,10,0.17665,ok
clang-plainje,cc,kron22,4,10,0.15957,ok
clang-chonk,cc,kron22,4,10,0.15349,ok
clang-plain,pr,kron22,4,1,1.46412,ok
clang-plainje,pr,kron22,4,1,1.47124,ok
clang-chonk,pr,kron22,4,1,1.49062,ok
clang-plain,pr,kron22,4,2,1.46185,ok
clang-plainje,pr,kron22,4,2,1.47556,ok
clang-chonk,pr,kron22,4,2,1.45470,ok
clang-plain,pr,kron22,4,3,1.49137,ok
clang-plainje,pr,kron22,4,3,1.44176,ok
clang-chonk,pr,kron22,4,3,1.52167,ok
clang-plain,pr,kron22,4,4,1.49364,ok
clang-plainje,pr,kron22,4,4,1.48989,ok
clang-chonk,pr,kron22,4,4,1.50446,ok
clang-plain,pr,kron22,4,5,1.47860,ok
clang-plainje,pr,kron22,4,5,1.47467,ok
clang-chonk,pr,kron22,4,5,1.50193,ok
clang-plain,pr,kron22,4,6,1.44190,ok
clang-plainje,pr,kron22,4,6,1.45139,ok
clang-chonk,pr,kron22,4,6,1.46385,ok
clang-plain,pr,kron22,4,7,1.50766,ok
clang-plainje,pr,kron22,4,7,1.49431,ok
clang-chonk,pr,kron22,4,7,1.50333,ok
clang-plain,pr,kron22,4,8,1.44224,ok
clang-plainje,pr,kron22,4,8,1.50754,ok
clang-chonk,pr,kron22,4,8,1.51538,ok
clang-plain,pr,kron22,4,9,1.48647,ok
clang-plainje,pr,kron22,4,9,1.44232,ok
clang-chonk,pr,kron22,4,9,1.51068,ok
clang-plain,pr,kron22,4,10,1.48048,ok
clang-plainje,pr,kron22,4,10,1.45012,ok
clang-chonk,pr,kron22,4,10,1.46673,ok
clang-plain,bc,kron22,4,1,5.38714,ok
clang-plainje,bc,kron22,4,1,5.38801,ok
clang-chonk,bc,kron22,4,1,5.42262,ok
clang-plain,bc,kron22,4,2,5.36093,ok
clang-plainje,bc,kron22,4,2,5.42052,ok
clang-chonk,bc,kron22,4,2,5.36757,ok
clang-plain,bc,kron22,4,3,5.38513,ok
clang-plainje,bc,kron22,4,3,5.40262,ok
clang-chonk,bc,kron22,4,3,5.36711,ok
clang-plain,bc,kron22,4,4,5.40272,ok
clang-plainje,bc,kron22,4,4,5.40552,ok
clang-chonk,bc,kron22,4,4,5.36779,ok
clang-plain,bc,kron22,4,5,5.37093,ok
clang-plainje,bc,kron22,4,5,5.39645,ok
clang-chonk,bc,kron22,4,5,5.39244,ok
clang-plain,bc,kron22,4,6,5.39108,ok
clang-plainje,bc,kron22,4,6,5.37110,ok
clang-chonk,bc,kron22,4,6,5.40494,ok
clang-plain,bc,kron22,4,7,5.40082,ok
clang-plainje,bc,kron22,4,7,5.38161,ok
clang-chonk,bc,kron22,4,7,5.40562,ok
clang-plain,bc,kron22,4,8,5.38468,ok
clang-plainje,bc,kron22,4,8,5.38761,ok
clang-chonk,bc,kron22,4,8,5.35605,ok
clang-plain,bc,kron22,4,9,5.38804,ok
clang-plainje,bc,kron22,4,9,5.37177,ok
clang-chonk,bc,kron22,4,9,5.39519,ok
clang-plain,bc,kron22,4,10,5.37443,ok
clang-plainje,bc,kron22,4,10,5.41195,ok
clang-chonk,bc,kron22,4,10,5.40332,ok
clang-plain,sssp,kron22,4,1,0.61963,ok
clang-plainje,sssp,kron22,4,1,0.60567,ok
clang-chonk,sssp,kron22,4,1,0.61581,ok
clang-plain,sssp,kron22,4,2,0.60128,ok
clang-plainje,sssp,kron22,4,2,0.60761,ok
clang-chonk,sssp,kron22,4,2,0.60734,ok
clang-plain,sssp,kron22,4,3,0.62001,ok
clang-plainje,sssp,kron22,4,3,0.61396,ok
clang-chonk,sssp,kron22,4,3,0.60460,ok
clang-plain,sssp,kron22,4,4,0.60730,ok
clang-plainje,sssp,kron22,4,4,0.61170,ok
clang-chonk,sssp,kron22,4,4,0.60637,ok
clang-plain,sssp,kron22,4,5,0.61302,ok
clang-plainje,sssp,kron22,4,5,0.61652,ok
clang-chonk,sssp,kron22,4,5,0.61456,ok
clang-plain,sssp,kron22,4,6,0.61190,ok
clang-plainje,sssp,kron22,4,6,0.61450,ok
clang-chonk,sssp,kron22,4,6,0.60079,ok
clang-plain,sssp,kron22,4,7,0.60772,ok
clang-plainje,sssp,kron22,4,7,0.61851,ok
clang-chonk,sssp,kron22,4,7,0.60456,ok
clang-plain,sssp,kron22,4,8,0.60169,ok
clang-plainje,sssp,kron22,4,8,0.60241,ok
clang-chonk,sssp,kron22,4,8,0.61019,ok
clang-plain,sssp,kron22,4,9,0.60364,ok
clang-plainje,sssp,kron22,4,9,0.60619,ok
clang-chonk,sssp,kron22,4,9,0.61005,ok
clang-plain,sssp,kron22,4,10,0.61069,ok
clang-plainje,sssp,kron22,4,10,0.61101,ok
clang-chonk,sssp,kron22,4,10,0.60121,ok
clang-plain,tc,kron22,4,1,73.91385,ok
clang-plainje,tc,kron22,4,1,73.91636,ok
clang-chonk,tc,kron22,4,1,74.62312,ok
clang-plain,tc,kron22,4,2,73.94344,ok
clang-plainje,tc,kron22,4,2,73.92876,ok
clang-chonk,tc,kron22,4,2,74.52224,ok
