config,app,input,threads,run,time_s,status
clang-plain,bfs,kron24,8,1,0.08134,ok
clang-plainje,bfs,kron24,8,1,0.08159,ok
clang-chonk,bfs,kron24,8,1,0.08171,ok
clang-plain,bfs,kron24,8,2,0.08430,ok
clang-plainje,bfs,kron24,8,2,0.08288,ok
clang-chonk,bfs,kron24,8,2,0.08040,ok
clang-plain,bfs,kron24,8,3,0.08138,ok
clang-plainje,bfs,kron24,8,3,0.07986,ok
clang-chonk,bfs,kron24,8,3,0.08055,ok
clang-plain,bfs,kron24,8,4,0.08282,ok
clang-plainje,bfs,kron24,8,4,0.08156,ok
clang-chonk,bfs,kron24,8,4,0.08175,ok
clang-plain,bfs,kron24,8,5,0.08303,ok
clang-plainje,bfs,kron24,8,5,0.08411,ok
clang-chonk,bfs,kron24,8,5,0.08292,ok
clang-plain,bfs,kron24,8,6,0.08021,ok
clang-plainje,bfs,kron24,8,6,0.08286,ok
clang-chonk,bfs,kron24,8,6,0.08163,ok
clang-plain,bfs,kron24,8,7,0.08293,ok
clang-plainje,bfs,kron24,8,7,0.08005,ok
clang-chonk,bfs,kron24,8,7,0.08186,ok
clang-plain,bfs,kron24,8,8,0.08469,ok
clang-plainje,bfs,kron24,8,8,0.08065,ok
clang-chonk,bfs,kron24,8,8,0.08209,ok
clang-plain,bfs,kron24,8,9,0.08024,ok
clang-plainje,bfs,kron24,8,9,0.08223,ok
clang-chonk,bfs,kron24,8,9,0.08069,ok
clang-plain,bfs,kron24,8,10,0.08295,ok
clang-plainje,bfs,kron24,8,10,0.08152,ok
clang-chonk,bfs,kron24,8,10,0.08184,ok
clang-plain,cc,kron24,8,1,0.12649,ok
clang-plainje,cc,kron24,8,1,0.13048,ok
clang-chonk,cc,kron24,8,1,0.13738,ok
clang-plain,cc,kron24,8,2,0.13475,ok
clang-plainje,cc,kron24,8,2,0.12446,ok
clang-chonk,cc,kron24,8,2,0.13087,ok
clang-plain,cc,kron24,8,3,0.13680,ok
clang-plainje,cc,kron24,8,3,0.13554,ok
clang-chonk,cc,kron24,8,3,0.13628,ok
clang-plain,cc,kron24,8,4,0.12477,ok
clang-plainje,cc,kron24,8,4,0.12929,ok
clang-chonk,cc,kron24,8,4,0.13622,ok
clang-plain,cc,kron24,8,5,0.13631,ok
clang-plainje,cc,kron24,8,5,0.13312,ok
clang-chonk,cc,kron24,8,5,0.12462,ok
clang-plain,cc,kron24,8,6,0.13074,ok
clang-plainje,cc,kron24,8,6,0.13613,ok
clang-chonk,cc,kron24,8,6,0.13219,ok
clang-plain,cc,kron24,8,7,0.12654,ok
clang-plainje,cc,kron24,8,7,0.12632,ok
clang-chonk,cc,kron24,8,7,0.12950,ok
clang-plain,cc,kron24,8,8,0.13098,ok
clang-plainje,cc,kron24,8,8,0.13257,ok
clang-chonk,cc,kron24,8,8,0.12376,ok
clang-plain,cc,kron24,8,9,0.12817,ok
clang-plainje,cc,kron24,8,9,0.13343,ok
clang-chonk,cc,kron24,8,9,0.13422,ok
clang-plain,cc,kron24,8,10,0.13581,ok
clang-plainje,cc,kron24,8,10,0.12394,ok
clang-chonk,cc,kron24,8,10,0.13068,ok
