config,app,input,threads,run,time_s,status
clang-plain,bfs,kron24,16,1,0.04462,ok
clang-plainje,bfs,kron24,16,1,0.04477,ok
clang-chonk,bfs,kron24,16,1,0.04435,ok
clang-plain,bfs,kron24,16,2,0.04459,ok
clang-plainje,bfs,kron24,16,2,0.04753,ok
clang-chonk,bfs,kron24,16,2,0.04422,ok
clang-plain,bfs,kron24,16,3,0.04478,ok
clang-plainje,bfs,kron24,16,3,0.04566,ok
clang-chonk,bfs,kron24,16,3,0.04469,ok
clang-plain,bfs,kron24,16,4,0.04543,ok
clang-plainje,bfs,kron24,16,4,0.04515,ok
clang-chonk,bfs,kron24,16,4,0.04503,ok
clang-plain,bfs,kron24,16,5,0.04530,ok
clang-plainje,bfs,kron24,16,5,0.04489,ok
clang-chonk,bfs,kron24,16,5,0.04468,ok
clang-plain,bfs,kron24,16,6,0.04550,ok
clang-plainje,bfs,kron24,16,6,0.04469,ok
clang-chonk,bfs,kron24,16,6,0.04427,ok
clang-plain,bfs,kron24,16,7,0.04515,ok
clang-plainje,bfs,kron24,16,7,0.04530,ok
clang-chonk,bfs,kron24,16,7,0.04478,ok
clang-plain,bfs,kron24,16,8,0.04520,ok
clang-plainje,bfs,kron24,16,8,0.04561,ok
clang-chonk,bfs,kron24,16,8,0.04336,ok
clang-plain,bfs,kron24,16,9,0.04564,ok
clang-plainje,bfs,kron24,16,9,0.04539,ok
clang-chonk,bfs,kron24,16,9,0.04473,ok
clang-plain,bfs,kron24,16,10,0.04521,ok
clang-plainje,bfs,kron24,16,10,0.04447,ok
clang-chonk,bfs,kron24,16,10,0.04338,ok
clang-plain,cc,kron24,16,1,0.06498,ok
clang-plainje,cc,kron24,16,1,0.06687,ok
clang-chonk,cc,kron24,16,1,0.06399,ok
clang-plain,cc,kron24,16,2,0.06795,ok
clang-plainje,cc,kron24,16,2,0.06829,ok
clang-chonk,cc,kron24,16,2,0.06637,ok
clang-plain,cc,kron24,16,3,0.06779,ok
clang-plainje,cc,kron24,16,3,0.06822,ok
clang-chonk,cc,kron24,16,3,0.06440,ok
clang-plain,cc,kron24,16,4,0.06820,ok
clang-plainje,cc,kron24,16,4,0.06837,ok
clang-chonk,cc,kron24,16,4,0.06794,ok
clang-plain,cc,kron24,16,5,0.06628,ok
clang-plainje,cc,kron24,16,5,0.06616,ok
clang-chonk,cc,kron24,16,5,0.06827,ok
clang-plain,cc,kron24,16,6,0.06409,ok
clang-plainje,cc,kron24,16,6,0.06969,ok
clang-chonk,cc,kron24,16,6,0.06742,ok
clang-plain,cc,kron24,16,7,0.06788,ok
clang-plainje,cc,kron24,16,7,0.06661,ok
clang-chonk,cc,kron24,16,7,0.06886,ok
clang-plain,cc,kron24,16,8,0.06813,ok
clang-plainje,cc,kron24,16,8,0.06752,ok
clang-chonk,cc,kron24,16,8,0.06869,ok
clang-plain,cc,kron24,16,9,0.06758,ok
clang-plainje,cc,kron24,16,9,0.06882,ok
clang-chonk,cc,kron24,16,9,0.06502,ok
clang-plain,cc,kron24,16,10,0.06883,ok
clang-plainje,cc,kron24,16,10,0.06621,ok
clang-chonk,cc,kron24,16,10,0.06755,ok
clang-plain,pr,kron24,16,1,0.69158,ok
clang-plainje,pr,kron24,16,1,0.68730,ok
clang-chonk,pr,kron24,16,1,0.66334,ok
clang-plain,pr,kron24,16,2,0.66956,ok
clang-plainje,pr,kron24,16,2,0.67230,ok
clang-chonk,pr,kron24,16,2,0.63992,ok
clang-plain,pr,kron24,16,3,0.70276,ok
clang-plainje,pr,kron24,16,3,0.67470,ok
clang-chonk,pr,kron24,16,3,0.66104,ok
clang-plain,pr,kron24,16,4,0.66949,ok
clang-plainje,pr,kron24,16,4,0.68373,ok
clang-chonk,pr,kron24,16,4,0.69009,ok
clang-plain,pr,kron24,16,5,0.68554,ok
clang-plainje,pr,kron24,16,5,0.68983,ok
clang-chonk,pr,kron24,16,5,0.70438,ok
clang-plain,pr,kron24,16,6,0.70210,ok
clang-plainje,pr,kron24,16,6,0.70565,ok
clang-chonk,pr,kron24,16,6,0.68233,ok
clang-plain,pr,kron24,16,7,0.71108,ok
clang-plainje,pr,kron24,16,7,0.69983,ok
clang-chonk,pr,kron24,16,7,0.68225,ok
clang-plain,pr,kron24,16,8,0.67976,ok
clang-plainje,pr,kron24,16,8,0.59717,ok
clang-chonk,pr,kron24,16,8,0.62108,ok
clang-plain,pr,kron24,16,9,0.64981,ok
clang-plainje,pr,kron24,16,9,0.64225,ok
clang-chonk,pr,kron24,16,9,0.66123,ok
clang-plain,pr,kron24,16,10,0.67906,ok
clang-plainje,pr,kron24,16,10,0.68286,ok
clang-chonk,pr,kron24,16,10,0.68004,ok
clang-plain,pr,kron24,16,1,0.75918,ok
clang-plainje,pr,kron24,16,1,0.77083,ok
clang-chonk,pr,kron24,16,1,0.73714,ok
clang-plain,pr,kron24,16,2,0.78193,ok
clang-plainje,pr,kron24,16,2,0.69659,ok
clang-chonk,pr,kron24,16,2,0.65100,ok
clang-plain,pr,kron24,16,3,0.69204,ok
clang-plainje,pr,kron24,16,3,0.73508,ok
clang-chonk,pr,kron24,16,3,0.66890,ok
clang-plain,pr,kron24,16,4,0.63321,ok
clang-plainje,pr,kron24,16,4,0.69299,ok
