config,app,input,threads,run,time_s,status
clang-plain,bfs,kron22,32,1,0.00942,ok
clang-plainje,bfs,kron22,32,1,0.01209,ok
clang-chonk,bfs,kron22,32,1,0.01013,ok
clang-plain,bfs,kron22,32,2,0.01006,ok
clang-plainje,bfs,kron22,32,2,0.01161,ok
clang-chonk,bfs,kron22,32,2,0.01118,ok
clang-plain,bfs,kron22,32,3,0.01104,ok
clang-plainje,bfs,kron22,32,3,0.01152,ok
clang-chonk,bfs,kron22,32,3,0.01029,ok
clang-plain,bfs,kron22,32,4,0.01108,ok
clang-plainje,bfs,kron22,32,4,0.01117,ok
clang-chonk,bfs,kron22,32,4,0.01045,ok
clang-plain,bfs,kron22,32,5,0.00954,ok
clang-plainje,bfs,kron22,32,5,0.01199,ok
clang-chonk,bfs,kron22,32,5,0.01089,ok
clang-plain,bfs,kron22,32,6,0.01071,ok
clang-plainje,bfs,kron22,32,6,0.01170,ok
clang-chonk,bfs,kron22,32,6,0.01036,ok
clang-plain,bfs,kron22,32,7,0.01061,ok
clang-plainje,bfs,kron22,32,7,0.00933,ok
clang-chonk,bfs,kron22,32,7,0.01043,ok
clang-plain,bfs,kron22,32,8,0.00975,ok
clang-plainje,bfs,kron22,32,8,0.01121,ok
clang-chonk,bfs,kron22,32,8,0.01111,ok
clang-plain,bfs,kron22,32,9,0.01160,ok
clang-plainje,bfs,kron22,32,9,0.01094,ok
clang-chonk,bfs,kron22,32,9,0.01017,ok
clang-plain,bfs,kron22,32,10,0.01133,ok
clang-plainje,bfs,kron22,32,10,0.01170,ok
clang-chonk,bfs,kron22,32,10,0.01037,ok
clang-plain,cc,kron22,32,1,0.01522,ok
clang-plainje,cc,kron22,32,1,0.01396,ok
clang-chonk,cc,kron22,32,1,0.01436,ok
clang-plain,cc,kron22,32,2,0.01589,ok
clang-plainje,cc,kron22,32,2,0.01480,ok
clang-chonk,cc,kron22,32,2,0.01392,ok
clang-plain,cc,kron22,32,3,0.01669,ok
clang-plainje,cc,kron22,32,3,0.01439,ok
clang-chonk,cc,kron22,32,3,0.01465,ok
clang-plain,cc,kron22,32,4,0.01430,ok
clang-plainje,cc,kron22,32,4,0.01638,ok
clang-chonk,cc,kron22,32,4,0.01460,ok
clang-plain,cc,kron22,32,5,0.01490,ok
clang-plainje,cc,kron22,32,5,0.01597,ok
clang-chonk,cc,kron22,32,5,0.01469,ok
