config,app,input,threads,run,time_s,status
clang-plain,bfs,kron22,1,1,0.10596,ok
clang-plainje,bfs,kron22,1,1,0.11113,ok
clang-chonk,bfs,kron22,1,1,0.11634,ok
clang-plain,bfs,kron22,1,2,0.10504,ok
clang-plainje,bfs,kron22,1,2,0.10501,ok
clang-chonk,bfs,kron22,1,2,0.10673,ok
clang-plain,bfs,kron22,1,3,0.10981,ok
clang-plainje,bfs,kron22,1,3,0.11302,ok
clang-chonk,bfs,kron22,1,3,0.11793,ok
clang-plain,cc,kron22,1,1,0.17833,ok
clang-plainje,cc,kron22,1,1,0.16308,ok
clang-chonk,cc,kron22,1,1,0.20700,ok
clang-plain,cc,kron22,1,2,0.19322,ok
clang-plainje,cc,kron22,1,2,0.16545,ok
clang-chonk,cc,kron22,1,2,0.17966,ok
clang-plain,cc,kron22,1,3,0.16321,ok
clang-plainje,cc,kron22,1,3,0.21004,ok
clang-chonk,cc,kron22,1,3,0.21067,ok
clang-plain,bfs,kron22,1,1,0.09320,ok
clang-plainje,bfs,kron22,1,1,0.09802,ok
clang-chonk,bfs,kron22,1,1,0.09541,ok
clang-plain,bfs,kron22,1,2,0.09315,ok
clang-plainje,bfs,kron22,1,2,0.09375,ok
clang-chonk,bfs,kron22,1,2,0.09657,ok
clang-plain,bfs,kron22,1,3,0.09314,ok
clang-plainje,bfs,kron22,1,3,0.09315,ok
clang-chonk,bfs,kron22,1,3,0.09959,ok
clang-plain,bfs,kron22,1,4,0.09297,ok
clang-plainje,bfs,kron22,1,4,0.09297,ok
clang-chonk,bfs,kron22,1,4,0.09528,ok
clang-plain,bfs,kron22,1,5,0.09314,ok
clang-plainje,bfs,kron22,1,5,0.09306,ok
clang-chonk,bfs,kron22,1,5,0.09540,ok
clang-plain,bfs,kron22,1,6,0.09308,ok
clang-plainje,bfs,kron22,1,6,0.09321,ok
clang-chonk,bfs,kron22,1,6,0.09886,ok
lang-plainje,cc,kron22,1,1,0.19613,ok
clang-plain,bfs,kron22,1,7,0.09285,ok
lang-plain,cc,kron22,1,2,0.16319,ok
clang-plainje,bfs,kron22,1,7,0.09590,ok
lang-chonk,cc,kron22,1,2,0.20399,ok
clang-chonk,bfs,kron22,1,7,0.09993,ok
lang-plainje,cc,kron22,1,3,0.17145,ok
clang-plain,bfs,kron22,1,8,0.09446,ok
lang-plain,cc,kron22,1,4,0.19731,ok
clang-plainje,bfs,kron22,1,8,0.09320,ok
lang-chonk,cc,kron22,1,4,0.16220,ok
clang-chonk,bfs,kron22,1,8,0.09579,ok
lang-plainje,cc,kron22,1,5,0.16546,ok
clang-plain,bfs,kron22,1,9,0.09328,ok
clang-plainje,bfs,kron22,1,9,0.09823,ok
clang-chonk,bfs,kron22,1,9,0.09701,ok
clang-plain,bfs,kron22,1,10,0.09696,ok
clang-plainje,bfs,kron22,1,10,0.09278,ok
clang-chonk,bfs,kron22,1,10,0.09802,ok
clang-plain,cc,kron22,1,1,0.17730,ok
clang-plainje,cc,kron22,1,1,0.15424,ok
clang-chonk,cc,kron22,1,1,0.15270,ok
clang-plain,cc,kron22,1,2,0.17545,ok
clang-plainje,cc,kron22,1,2,0.15404,ok
clang-chonk,cc,kron22,1,2,0.15320,ok
clang-plain,cc,kron22,1,3,0.17212,ok
clang-plainje,cc,kron22,1,3,0.17685,ok
clang-chonk,cc,kron22,1,3,0.15465,ok
clang-plain,cc,kron22,1,4,0.16578,ok
clang-plainje,cc,kron22,1,4,0.15917,ok
clang-chonk,cc,kron22,1,4,0.15261,ok
clang-plain,cc,kron22,1,5,0.16289,ok
clang-plainje,cc,kron22,1,5,0.15474,ok
clang-chonk,cc,kron22,1,5,0.17541,ok
clang-plain,cc,kron22,1,6,0.15525,ok
clang-plainje,cc,kron22,1,6,0.15463,ok
clang-chonk,cc,kron22,1,6,0.17518,ok
clang-plain,cc,kron22,1,7,0.15441,ok
clang-plainje,cc,kron22,1,7,0.15475,ok
clang-chonk,cc,kron22,1,7,0.17200,ok
clang-plain,cc,kron22,1,8,0.15445,ok
clang-plainje,cc,kron22,1,8,0.15462,ok
clang-chonk,cc,kron22,1,8,0.15275,ok
clang-plain,cc,kron22,1,9,0.17715,ok
clang-plainje,cc,kron22,1,9,0.15442,ok
clang-chonk,cc,kron22,1,9,0.15347,ok
clang-plain,cc,kron22,1,10,0.15447,ok
clang-plainje,cc,kron22,1,10,0.15492,ok
