config,app,input,threads,run,time_s,status
clang-plain,bfs,kron22,16,1,0.16295,ok
clang-plainje,bfs,kron22,16,1,,no_time
clang-chonk,bfs,kron22,16,1,,no_time
clang-plain,bfs,kron22,16,2,,no_time
clang-plainje,bfs,kron22,16,2,,no_time
clang-chonk,bfs,kron22,16,2,,no_time
clang-plain,bfs,kron22,16,3,,no_time
clang-plainje,bfs,kron22,16,3,,no_time
clang-chonk,bfs,kron22,16,3,,no_time
clang-plain,bfs,kron22,16,4,,no_time
clang-plainje,bfs,kron22,16,4,,no_time
clang-chonk,bfs,kron22,16,4,,no_time
clang-plain,bfs,kron22,16,5,,no_time
clang-plainje,bfs,kron22,16,5,,no_time
clang-chonk,bfs,kron22,16,5,,no_time
clang-plain,cc,kron22,16,1,,no_time
clang-plainje,cc,kron22,16,1,,no_time
clang-chonk,cc,kron22,16,1,,no_time
clang-plain,cc,kron22,16,2,,no_time
clang-plainje,cc,kron22,16,2,,no_time
clang-chonk,cc,kron22,16,2,,no_time
clang-plain,cc,kron22,16,3,,no_time
clang-plainje,cc,kron22,16,3,,no_time
clang-chonk,cc,kron22,16,3,,no_time
clang-plain,cc,kron22,16,4,,no_time
clang-plainje,cc,kron22,16,4,,no_time
clang-chonk,cc,kron22,16,4,,no_time
clang-plain,cc,kron22,16,5,,no_time
clang-plainje,cc,kron22,16,5,,no_time
clang-chonk,cc,kron22,16,5,,no_time
clang-plain,pr,kron22,16,1,,no_time
clang-plain,bfs,kron22,16,1,0.17688,ok
clang-plainje,bfs,kron22,16,1,0.16240,ok
clang-chonk,bfs,kron22,16,1,0.16218,ok
clang-plain,bfs,kron22,16,2,0.16220,ok
clang-plainje,bfs,kron22,16,2,0.16613,ok
clang-chonk,bfs,kron22,16,2,0.16377,ok
clang-plain,bfs,kron22,16,3,0.16324,ok
clang-plainje,bfs,kron22,16,3,0.16133,ok
clang-chonk,bfs,kron22,16,3,0.18205,ok
clang-plain,bfs,kron22,16,4,0.17122,ok
clang-plainje,bfs,kron22,16,4,0.17771,ok
clang-chonk,bfs,kron22,16,4,0.16441,ok
clang-plain,bfs,kron22,16,5,0.16912,ok
clang-plainje,bfs,kron22,16,5,0.16275,ok
clang-chonk,bfs,kron22,16,5,0.16687,ok
clang-plain,cc,kron22,16,1,0.33456,ok
clang-plainje,cc,kron22,16,1,0.38593,ok
clang-chonk,cc,kron22,16,1,0.33222,ok
clang-plain,cc,kron22,16,2,0.33687,ok
clang-plainje,cc,kron22,16,2,0.35799,ok
clang-chonk,cc,kron22,16,2,0.33619,ok
clang-plain,cc,kron22,16,3,0.38651,ok
clang-plainje,cc,kron22,16,3,0.35323,ok
clang-chonk,cc,kron22,16,3,0.35032,ok
clang-plain,cc,kron22,16,4,0.34343,ok
clang-plainje,cc,kron22,16,4,0.34404,ok
clang-chonk,cc,kron22,16,4,0.33321,ok
clang-plain,cc,kron22,16,5,0.33998,ok
clang-plainje,cc,kron22,16,5,0.33402,ok
clang-chonk,cc,kron22,16,5,0.34480,ok
clang-plain,pr,kron22,16,1,6.78855,ok
clang-plainje,pr,kron22,16,1,6.75670,ok
clang-chonk,pr,kron22,16,1,6.72995,ok
clang-plain,pr,kron22,16,2,6.75141,ok
clang-plainje,pr,kron22,16,2,6.80449,ok
clang-chonk,pr,kron22,16,2,6.80563,ok
clang-plain,pr,kron22,16,3,6.73580,ok
clang-plainje,pr,kron22,16,3,6.78424,ok
clang-chonk,pr,kron22,16,3,6.75242,ok
clang-plain,pr,kron22,16,4,6.70688,ok
clang-plainje,pr,kron22,16,4,6.81389,ok
clang-chonk,pr,kron22,16,4,6.70374,ok
clang-plain,pr,kron22,16,5,6.71837,ok
clang-plainje,pr,kron22,16,5,6.73953,ok
clang-chonk,pr,kron22,16,5,6.62379,ok
clang-plain,bc,kron22,16,1,14.27387,ok
clang-plainje,bc,kron22,16,1,14.22540,ok
clang-chonk,bc,kron22,16,1,14.30166,ok
clang-plain,bc,kron22,16,2,13.89968,ok
clang-plainje,bc,kron22,16,2,13.98531,ok
clang-chonk,bc,kron22,16,2,14.14152,ok
