config,app,input,threads,run,time_s,status
clang-plain,bfs,kron22,128,1,0.01077,ok
clang-plainje,bfs,kron22,128,1,0.01172,ok
clang-chonk,bfs,kron22,128,1,0.01099,ok
clang-plain,bfs,kron22,128,2,0.01228,ok
clang-plainje,bfs,kron22,128,2,0.01395,ok
clang-chonk,bfs,kron22,128,2,0.01188,ok
clang-plain,bfs,kron22,128,3,0.01074,ok
clang-plainje,bfs,kron22,128,3,0.01271,ok
clang-chonk,bfs,kron22,128,3,0.01041,ok
clang-plain,bfs,kron22,128,4,0.02172,ok
clang-plainje,bfs,kron22,128,4,0.01095,ok
clang-chonk,bfs,kron22,128,4,0.01117,ok
clang-plain,bfs,kron22,128,5,0.01344,ok
clang-plainje,bfs,kron22,128,5,0.01189,ok
clang-chonk,bfs,kron22,128,5,0.03112,ok
clang-plain,bfs,kron22,128,6,0.01286,ok
clang-plainje,bfs,kron22,128,6,0.01083,ok
clang-chonk,bfs,kron22,128,6,0.01182,ok
clang-plain,bfs,kron22,128,7,0.01432,ok
clang-plainje,bfs,kron22,128,7,0.03190,ok
clang-chonk,bfs,kron22,128,7,0.01475,ok
clang-plain,bfs,kron22,128,8,0.01828,ok
clang-plainje,bfs,kron22,128,8,0.01144,ok
clang-chonk,bfs,kron22,128,8,0.01160,ok
clang-plain,bfs,kron22,128,9,0.01528,ok
clang-plainje,bfs,kron22,128,9,0.01265,ok
clang-chonk,bfs,kron22,128,9,0.03175,ok
clang-plain,bfs,kron22,128,10,0.01615,ok
clang-plainje,bfs,kron22,128,10,0.01178,ok
clang-chonk,bfs,kron22,128,10,0.01060,ok
clang-plain,cc,kron22,128,1,0.01227,ok
clang-plainje,cc,kron22,128,1,0.01863,ok
clang-chonk,cc,kron22,128,1,0.01328,ok
clang-plain,cc,kron22,128,2,0.01940,ok
clang-plainje,cc,kron22,128,2,0.01227,ok
clang-chonk,cc,kron22,128,2,0.03219,ok
clang-plain,cc,kron22,128,3,0.01023,ok
clang-plainje,cc,kron22,128,3,0.01988,ok
clang-chonk,cc,kron22,128,3,0.01232,ok
clang-plain,cc,kron22,128,4,0.01516,ok
clang-plainje,cc,kron22,128,4,0.04457,ok
clang-chonk,cc,kron22,128,4,0.01497,ok
clang-plain,cc,kron22,128,5,0.02687,ok
clang-plainje,cc,kron22,128,5,0.03789,ok
clang-chonk,cc,kron22,128,5,0.02251,ok
clang-plain,cc,kron22,128,6,0.01172,ok
clang-plainje,cc,kron22,128,6,0.01246,ok
clang-chonk,cc,kron22,128,6,0.01041,ok
clang-plain,cc,kron22,128,7,0.01154,ok
clang-plainje,cc,kron22,128,7,0.02170,ok
clang-chonk,cc,kron22,128,7,0.02431,ok
clang-plain,cc,kron22,128,8,0.01577,ok
clang-plainje,cc,kron22,128,8,0.01664,ok
clang-chonk,cc,kron22,128,8,0.01691,ok
clang-plain,cc,kron22,128,9,0.03135,ok
clang-plainje,cc,kron22,128,9,0.01861,ok
clang-chonk,cc,kron22,128,9,0.02378,ok
clang-plain,cc,kron22,128,10,0.01018,ok
clang-plainje,cc,kron22,128,10,0.01264,ok
clang-chonk,cc,kron22,128,10,0.04645,ok
clang-plain,pr,kron22,128,1,0.09719,ok
clang-plainje,pr,kron22,128,1,0.09457,ok
clang-chonk,pr,kron22,128,1,0.09542,ok
clang-plain,pr,kron22,128,2,0.09184,ok
clang-plainje,pr,kron22,128,2,0.11449,ok
clang-chonk,pr,kron22,128,2,0.09248,ok
clang-plain,pr,kron22,128,3,0.09698,ok
clang-plainje,pr,kron22,128,3,0.08087,ok
clang-chonk,pr,kron22,128,3,0.08923,ok
clang-plain,pr,kron22,128,4,0.07835,ok
clang-plainje,pr,kron22,128,4,0.10184,ok
clang-chonk,pr,kron22,128,4,0.08526,ok
clang-plain,pr,kron22,128,5,0.08284,ok
clang-plainje,pr,kron22,128,5,0.12357,ok
clang-chonk,pr,kron22,128,5,0.08965,ok
clang-plain,pr,kron22,128,6,0.08640,ok
clang-plainje,pr,kron22,128,6,0.09743,ok
clang-chonk,pr,kron22,128,6,0.07892,ok
clang-plain,pr,kron22,128,7,0.08388,ok
clang-plainje,pr,kron22,128,7,0.10597,ok
clang-chonk,pr,kron22,128,7,0.10174,ok
clang-plain,pr,kron22,128,8,0.09779,ok
clang-plainje,pr,kron22,128,8,0.11718,ok
clang-chonk,pr,kron22,128,8,0.10406,ok
clang-plain,pr,kron22,128,9,0.08821,ok
clang-plainje,pr,kron22,128,9,0.10224,ok
clang-chonk,pr,kron22,128,9,0.08581,ok
clang-plain,pr,kron22,128,10,0.08388,ok
clang-plainje,pr,kron22,128,10,0.09159,ok
clang-chonk,pr,kron22,128,10,0.08189,ok
clang-plain,bc,kron22,128,1,0.32566,ok
clang-plainje,bc,kron22,128,1,0.32503,ok
clang-chonk,bc,kron22,128,1,0.33158,ok
clang-plain,bc,kron22,128,2,0.31088,ok
clang-plainje,bc,kron22,128,2,0.31482,ok
clang-chonk,bc,kron22,128,2,0.31603,ok
clang-plain,bc,kron22,128,3,0.31760,ok
clang-plainje,bc,kron22,128,3,0.31603,ok
clang-chonk,bc,kron22,128,3,0.33234,ok
clang-plain,bc,kron22,128,4,0.32903,ok
clang-plainje,bc,kron22,128,4,0.36237,ok
clang-chonk,bc,kron22,128,4,0.31993,ok
clang-plain,bc,kron22,128,5,0.31897,ok
clang-plainje,bc,kron22,128,5,0.31611,ok
clang-chonk,bc,kron22,128,5,0.32026,ok
clang-plain,bc,kron22,128,6,0.32486,ok
clang-plainje,bc,kron22,128,6,0.32652,ok
clang-chonk,bc,kron22,128,6,0.32480,ok
clang-plain,bc,kron22,128,7,0.31761,ok
clang-plainje,bc,kron22,128,7,0.32485,ok
clang-chonk,bc,kron22,128,7,0.32496,ok
clang-plain,bc,kron22,128,8,0.32222,ok
clang-plainje,bc,kron22,128,8,0.31556,ok
clang-chonk,bc,kron22,128,8,0.32206,ok
clang-plain,bc,kron22,128,9,0.32726,ok
clang-plainje,bc,kron22,128,9,0.31230,ok
clang-chonk,bc,kron22,128,9,0.31850,ok
clang-plain,bc,kron22,128,10,0.32059,ok
clang-plainje,bc,kron22,128,10,0.31526,ok
clang-chonk,bc,kron22,128,10,0.31058,ok
clang-plain,sssp,kron22,128,1,0.13929,ok
clang-plainje,sssp,kron22,128,1,0.12721,ok
clang-chonk,sssp,kron22,128,1,0.12619,ok
clang-plain,sssp,kron22,128,2,0.12158,ok
