config,app,input,threads,run,time_s,status
clang-chonk,bfs,kron26,64,40,0.12298,ok
clang-plain,bfs,kron26,64,41,0.11559,ok
clang-plainje,bfs,kron26,64,41,0.12347,ok
clang-chonk,bfs,kron26,64,41,0.11242,ok
clang-plain,bfs,kron26,64,42,0.11113,ok
clang-plainje,bfs,kron26,64,42,0.10116,ok
clang-chonk,bfs,kron26,64,42,0.10697,ok
clang-plain,bfs,kron26,64,43,0.09953,ok
clang-plainje,bfs,kron26,64,43,0.12080,ok
clang-chonk,bfs,kron26,64,43,0.10025,ok
clang-plain,bfs,kron26,64,44,0.12601,ok
clang-plainje,bfs,kron26,64,44,0.10970,ok
clang-chonk,bfs,kron26,64,44,0.10076,ok
clang-plain,bfs,kron26,64,45,0.09704,ok
clang-plainje,bfs,kron26,64,45,0.11715,ok
clang-chonk,bfs,kron26,64,45,0.09708,ok
clang-plain,bfs,kron26,64,46,0.11764,ok
clang-plainje,bfs,kron26,64,46,0.10957,ok
clang-chonk,bfs,kron26,64,46,0.10433,ok
clang-plain,bfs,kron26,64,47,0.10772,ok
clang-plainje,bfs,kron26,64,47,0.10135,ok
clang-chonk,bfs,kron26,64,47,0.11642,ok
clang-plain,bfs,kron26,64,48,0.11546,ok
clang-plainje,bfs,kron26,64,48,0.10655,ok
clang-chonk,bfs,kron26,64,48,0.12404,ok
clang-plain,bfs,kron26,64,49,0.11308,ok
clang-plainje,bfs,kron26,64,49,0.09939,ok
clang-chonk,bfs,kron26,64,49,0.10478,ok
clang-plain,bfs,kron26,64,50,0.11176,ok
clang-plainje,bfs,kron26,64,50,0.11931,ok
clang-chonk,bfs,kron26,64,50,0.11223,ok
clang-plain,cc,kron26,64,1,0.13478,ok
clang-plainje,cc,kron26,64,1,0.13504,ok
clang-chonk,cc,kron26,64,1,0.13093,ok
clang-plain,cc,kron26,64,2,0.11271,ok
clang-plainje,cc,kron26,64,2,0.13209,ok
clang-chonk,cc,kron26,64,2,0.13232,ok
clang-plain,cc,kron26,64,3,0.13562,ok
clang-plainje,cc,kron26,64,3,0.11300,ok
clang-chonk,cc,kron26,64,3,0.12292,ok
clang-plain,cc,kron26,64,4,0.12963,ok
clang-plainje,cc,kron26,64,4,0.12099,ok
clang-chonk,cc,kron26,64,4,0.13055,ok
clang-plain,cc,kron26,64,5,0.11959,ok
clang-plainje,cc,kron26,64,5,0.12827,ok
clang-chonk,cc,kron26,64,5,0.13411,ok
clang-plain,cc,kron26,64,6,0.12858,ok
clang-plainje,cc,kron26,64,6,0.13606,ok
clang-chonk,cc,kron26,64,6,0.12235,ok
clang-plain,cc,kron26,64,7,0.13542,ok
clang-plainje,cc,kron26,64,7,0.13265,ok
clang-chonk,cc,kron26,64,7,0.13389,ok
clang-plain,cc,kron26,64,8,0.12083,ok
clang-plainje,cc,kron26,64,8,0.12626,ok
clang-chonk,cc,kron26,64,8,0.11296,ok
clang-plain,cc,kron26,64,9,0.13112,ok
clang-plainje,cc,kron26,64,9,0.13312,ok
clang-chonk,cc,kron26,64,9,0.12402,ok
clang-plain,cc,kron26,64,10,0.12758,ok
clang-plainje,cc,kron26,64,10,0.13364,ok
clang-chonk,cc,kron26,64,10,0.12869,ok
clang-plain,cc,kron26,64,11,0.12561,ok
clang-plainje,cc,kron26,64,11,0.13683,ok
clang-chonk,cc,kron26,64,11,0.11473,ok
clang-plain,cc,kron26,64,12,0.13202,ok
clang-plainje,cc,kron26,64,12,0.11886,ok
clang-chonk,cc,kron26,64,12,0.12849,ok
clang-plain,cc,kron26,64,13,0.12653,ok
clang-plainje,cc,kron26,64,13,0.13163,ok
clang-chonk,cc,kron26,64,13,0.12924,ok
clang-plain,cc,kron26,64,14,0.12973,ok
clang-plainje,cc,kron26,64,14,0.12091,ok
clang-chonk,cc,kron26,64,14,0.12828,ok
clang-plain,cc,kron26,64,15,0.12282,ok
clang-plainje,cc,kron26,64,15,0.13408,ok
clang-chonk,cc,kron26,64,15,0.13174,ok
clang-plain,cc,kron26,64,16,0.12363,ok
clang-plainje,cc,kron26,64,16,0.12965,ok
clang-chonk,cc,kron26,64,16,0.11392,ok
clang-plain,cc,kron26,64,17,0.12817,ok
clang-plainje,cc,kron26,64,17,0.13778,ok
clang-chonk,cc,kron26,64,17,0.11895,ok
clang-plain,cc,kron26,64,18,0.13480,ok
clang-plainje,cc,kron26,64,18,0.13167,ok
clang-chonk,cc,kron26,64,18,0.13199,ok
clang-plain,cc,kron26,64,19,0.12992,ok
clang-plainje,cc,kron26,64,19,0.12947,ok
clang-chonk,cc,kron26,64,19,0.12757,ok
clang-plain,cc,kron26,64,20,0.12976,ok
clang-plainje,cc,kron26,64,20,0.11639,ok
clang-chonk,cc,kron26,64,20,0.12016,ok
clang-plain,cc,kron26,64,21,0.13405,ok
clang-plainje,cc,kron26,64,21,0.12485,ok
clang-chonk,cc,kron26,64,21,0.13348,ok
clang-plain,cc,kron26,64,22,0.13674,ok
clang-plainje,cc,kron26,64,22,0.12577,ok
clang-chonk,cc,kron26,64,22,0.13150,ok
clang-plain,cc,kron26,64,23,0.12538,ok
clang-plainje,cc,kron26,64,23,0.13513,ok
clang-chonk,cc,kron26,64,23,0.11953,ok
clang-plain,cc,kron26,64,24,0.12680,ok
clang-plainje,cc,kron26,64,24,0.13358,ok
clang-chonk,cc,kron26,64,24,0.13185,ok
clang-plain,cc,kron26,64,25,0.11750,ok
clang-plainje,cc,kron26,64,25,0.13370,ok
clang-chonk,cc,kron26,64,25,0.13209,ok
clang-plain,cc,kron26,64,26,0.13019,ok
clang-plainje,cc,kron26,64,26,0.13411,ok
clang-chonk,cc,kron26,64,26,0.13272,ok
clang-plain,cc,kron26,64,27,0.13024,ok
clang-plainje,cc,kron26,64,27,0.13407,ok
clang-chonk,cc,kron26,64,27,0.11557,ok
clang-plain,cc,kron26,64,28,0.13166,ok
clang-plainje,cc,kron26,64,28,0.13432,ok
clang-chonk,cc,kron26,64,28,0.12668,ok
clang-plain,cc,kron26,64,29,0.12048,ok
clang-plainje,cc,kron26,64,29,0.11696,ok
clang-chonk,cc,kron26,64,29,0.11389,ok
clang-plain,cc,kron26,64,30,0.13112,ok
clang-plainje,cc,kron26,64,30,0.13198,ok
clang-chonk,cc,kron26,64,30,0.11736,ok
clang-plain,cc,kron26,64,31,0.12999,ok
clang-plainje,cc,kron26,64,31,0.13058,ok
clang-chonk,cc,kron26,64,31,0.13341,ok
clang-plain,cc,kron26,64,32,0.13121,ok
clang-plainje,cc,kron26,64,32,0.11643,ok
clang-chonk,cc,kron26,64,32,0.13501,ok
clang-plain,cc,kron26,64,33,0.12534,ok
clang-plainje,cc,kron26,64,33,0.13376,ok
clang-chonk,cc,kron26,64,33,0.13498,ok
clang-plain,cc,kron26,64,34,0.13123,ok
clang-plainje,cc,kron26,64,34,0.13243,ok
clang-chonk,cc,kron26,64,34,0.13543,ok
clang-plain,cc,kron26,64,35,0.12757,ok
clang-plainje,cc,kron26,64,35,0.12733,ok
clang-chonk,cc,kron26,64,35,0.11209,ok
clang-plain,cc,kron26,64,36,0.13058,ok
clang-plainje,cc,kron26,64,36,0.11564,ok
clang-chonk,cc,kron26,64,36,0.12514,ok
clang-plain,cc,kron26,64,37,0.12907,ok
clang-plainje,cc,kron26,64,37,0.12220,ok
clang-chonk,cc,kron26,64,37,0.12379,ok
clang-plain,cc,kron26,64,38,0.12501,ok
clang-plainje,cc,kron26,64,38,0.12764,ok
clang-chonk,cc,kron26,64,38,0.12921,ok
clang-plain,cc,kron26,64,39,0.13113,ok
clang-plainje,cc,kron26,64,39,0.11526,ok
clang-chonk,cc,kron26,64,39,0.12930,ok
clang-plain,cc,kron26,64,40,0.11982,ok
clang-plainje,cc,kron26,64,40,0.13191,ok
clang-chonk,cc,kron26,64,40,0.12970,ok
clang-plain,cc,kron26,64,41,0.12425,ok
clang-plainje,cc,kron26,64,41,0.13409,ok
clang-chonk,cc,kron26,64,41,0.11590,ok
clang-plain,cc,kron26,64,42,0.13398,ok
clang-plainje,cc,kron26,64,42,0.13450,ok
clang-chonk,cc,kron26,64,42,0.11490,ok
clang-plain,cc,kron26,64,43,0.12830,ok
clang-plainje,cc,kron26,64,43,0.12616,ok
clang-chonk,cc,kron26,64,43,0.11613,ok
clang-plain,cc,kron26,64,44,0.13509,ok
clang-plainje,cc,kron26,64,44,0.13310,ok
clang-chonk,cc,kron26,64,44,0.12905,ok
clang-plain,cc,kron26,64,45,0.11895,ok
clang-plainje,cc,kron26,64,45,0.13049,ok
clang-chonk,cc,kron26,64,45,0.13388,ok
clang-plain,cc,kron26,64,46,0.12807,ok
clang-plainje,cc,kron26,64,46,0.12887,ok
clang-chonk,cc,kron26,64,46,0.12201,ok
clang-plain,cc,kron26,64,47,0.13474,ok
clang-plainje,cc,kron26,64,47,0.13477,ok
clang-chonk,cc,kron26,64,47,0.13060,ok
clang-plain,cc,kron26,64,48,0.11635,ok
clang-plainje,cc,kron26,64,48,0.12108,ok
clang-chonk,cc,kron26,64,48,0.11640,ok
clang-plain,cc,kron26,64,49,0.13142,ok
clang-plainje,cc,kron26,64,49,0.12946,ok
clang-chonk,cc,kron26,64,49,0.12684,ok
clang-plain,cc,kron26,64,50,0.12873,ok
clang-plainje,cc,kron26,64,50,0.13447,ok
clang-chonk,cc,kron26,64,50,0.12608,ok
clang-plain,bfs,kron26,64,1,0.09690,ok
clang-plainje,bfs,kron26,64,1,0.09931,ok
clang-chonk,bfs,kron26,64,1,0.09541,ok
clang-plain,bfs,kron26,64,2,0.08562,ok
clang-plainje,bfs,kron26,64,2,0.10021,ok
clang-chonk,bfs,kron26,64,2,0.09884,ok
clang-plain,bfs,kron26,64,3,0.10628,ok
clang-plainje,bfs,kron26,64,3,0.08599,ok
clang-chonk,bfs,kron26,64,3,0.09488,ok
clang-plain,bfs,kron26,64,4,0.08687,ok
clang-plainje,bfs,kron26,64,4,0.09863,ok
clang-chonk,bfs,kron26,64,4,0.09739,ok
clang-plain,bfs,kron26,64,5,0.10216,ok
clang-plainje,bfs,kron26,64,5,0.10481,ok
clang-chonk,bfs,kron26,64,5,0.09687,ok
clang-plain,bfs,kron26,64,6,0.10411,ok
clang-plainje,bfs,kron26,64,6,0.08711,ok
clang-chonk,bfs,kron26,64,6,0.10465,ok
clang-plain,bfs,kron26,64,7,0.10400,ok
clang-plainje,bfs,kron26,64,7,0.10413,ok
clang-chonk,bfs,kron26,64,7,0.09974,ok
clang-plain,bfs,kron26,64,8,0.10274,ok
clang-plainje,bfs,kron26,64,8,0.10219,ok
clang-chonk,bfs,kron26,64,8,0.08360,ok
clang-plain,bfs,kron26,64,9,0.10091,ok
clang-plainje,bfs,kron26,64,9,0.09753,ok
clang-chonk,bfs,kron26,64,9,0.09076,ok
clang-plain,bfs,kron26,64,10,0.10789,ok
clang-plainje,bfs,kron26,64,10,0.08579,ok
clang-chonk,bfs,kron26,64,10,0.10060,ok
clang-plain,bfs,kron26,64,11,0.08513,ok
clang-plainje,bfs,kron26,64,11,0.10848,ok
clang-chonk,bfs,kron26,64,11,0.09301,ok
clang-plain,bfs,kron26,64,12,0.08661,ok
clang-plainje,bfs,kron26,64,12,0.10014,ok
clang-chonk,bfs,kron26,64,12,0.09501,ok
clang-plain,bfs,kron26,64,13,0.09990,ok
clang-plainje,bfs,kron26,64,13,0.09961,ok
clang-chonk,bfs,kron26,64,13,0.09197,ok
clang-plain,bfs,kron26,64,14,0.11086,ok
clang-plainje,bfs,kron26,64,14,0.10408,ok
clang-chonk,bfs,kron26,64,14,0.08679,ok
clang-plain,bfs,kron26,64,15,0.09942,ok
clang-plainje,bfs,kron26,64,15,0.08906,ok
clang-chonk,bfs,kron26,64,15,0.10196,ok
clang-plain,bfs,kron26,64,16,0.10337,ok
clang-plainje,bfs,kron26,64,16,0.10371,ok
clang-chonk,bfs,kron26,64,16,0.10606,ok
clang-plain,bfs,kron26,64,17,0.08631,ok
clang-plainje,bfs,kron26,64,17,0.10210,ok
clang-chonk,bfs,kron26,64,17,0.09334,ok
clang-plain,bfs,kron26,64,18,0.10538,ok
clang-plainje,bfs,kron26,64,18,0.10773,ok
clang-chonk,bfs,kron26,64,18,0.09127,ok
clang-plain,bfs,kron26,64,19,0.10792,ok
clang-plainje,bfs,kron26,64,19,0.09378,ok
clang-chonk,bfs,kron26,64,19,0.09387,ok
clang-plain,bfs,kron26,64,20,0.09800,ok
clang-plainje,bfs,kron26,64,20,0.08525,ok
clang-chonk,bfs,kron26,64,20,0.08496,ok
clang-plain,bfs,kron26,64,21,0.10393,ok
clang-plainje,bfs,kron26,64,21,0.10861,ok
clang-chonk,bfs,kron26,64,21,0.08805,ok
clang-plain,bfs,kron26,64,22,0.10838,ok
clang-plainje,bfs,kron26,64,22,0.09729,ok
clang-chonk,bfs,kron26,64,22,0.09024,ok
clang-plain,bfs,kron26,64,23,0.08857,ok
clang-plainje,bfs,kron26,64,23,0.10258,ok
clang-chonk,bfs,kron26,64,23,0.09537,ok
clang-plain,bfs,kron26,64,24,0.09033,ok
clang-plainje,bfs,kron26,64,24,0.10223,ok
clang-chonk,bfs,kron26,64,24,0.09550,ok
clang-plain,bfs,kron26,64,25,0.10556,ok
clang-plainje,bfs,kron26,64,25,0.10411,ok
clang-chonk,bfs,kron26,64,25,0.09485,ok
clang-plain,bfs,kron26,64,26,0.10598,ok
clang-plainje,bfs,kron26,64,26,0.10485,ok
clang-chonk,bfs,kron26,64,26,0.08427,ok
clang-plain,bfs,kron26,64,27,0.10490,ok
clang-plainje,bfs,kron26,64,27,0.10033,ok
clang-chonk,bfs,kron26,64,27,0.08313,ok
clang-plain,bfs,kron26,64,28,0.10404,ok
clang-plainje,bfs,kron26,64,28,0.08474,ok
clang-chonk,bfs,kron26,64,28,0.08663,ok
clang-plain,bfs,kron26,64,29,0.08448,ok
clang-plainje,bfs,kron26,64,29,0.10376,ok
clang-chonk,bfs,kron26,64,29,0.08372,ok
clang-plain,bfs,kron26,64,30,0.08807,ok
clang-plainje,bfs,kron26,64,30,0.09560,ok
clang-chonk,bfs,kron26,64,30,0.08533,ok
clang-plain,bfs,kron26,64,31,0.10395,ok
clang-plainje,bfs,kron26,64,31,0.10136,ok
clang-chonk,bfs,kron26,64,31,0.09192,ok
clang-plain,bfs,kron26,64,32,0.10097,ok
clang-plainje,bfs,kron26,64,32,0.08735,ok
clang-chonk,bfs,kron26,64,32,0.08435,ok
clang-plain,bfs,kron26,64,33,0.09540,ok
clang-plainje,bfs,kron26,64,33,0.10518,ok
clang-chonk,bfs,kron26,64,33,0.09911,ok
clang-plain,bfs,kron26,64,34,0.09145,ok
clang-plainje,bfs,kron26,64,34,0.10366,ok
clang-chonk,bfs,kron26,64,34,0.08796,ok
clang-plain,bfs,kron26,64,35,0.10522,ok
clang-plainje,bfs,kron26,64,35,0.09186,ok
clang-chonk,bfs,kron26,64,35,0.08445,ok
clang-plain,bfs,kron26,64,36,0.08890,ok
clang-plainje,bfs,kron26,64,36,0.10221,ok
clang-chonk,bfs,kron26,64,36,0.10013,ok
clang-plain,bfs,kron26,64,37,0.09835,ok
clang-plainje,bfs,kron26,64,37,0.10493,ok
clang-chonk,bfs,kron26,64,37,0.09881,ok
clang-plain,bfs,kron26,64,38,0.11009,ok
clang-plainje,bfs,kron26,64,38,0.08586,ok
clang-chonk,bfs,kron26,64,38,0.08718,ok
clang-plain,bfs,kron26,64,39,0.10263,ok
clang-plainje,bfs,kron26,64,39,0.08701,ok
clang-chonk,bfs,kron26,64,39,0.09821,ok
clang-plain,bfs,kron26,64,40,0.08522,ok
clang-plainje,bfs,kron26,64,40,0.09084,ok
clang-chonk,bfs,kron26,64,40,0.08416,ok
clang-plain,bfs,kron26,64,41,0.08577,ok
clang-plainje,bfs,kron26,64,41,0.10561,ok
clang-chonk,bfs,kron26,64,41,0.09374,ok
clang-plain,bfs,kron26,64,42,0.09712,ok
clang-plainje,bfs,kron26,64,42,0.10607,ok
clang-chonk,bfs,kron26,64,42,0.08421,ok
clang-plain,bfs,kron26,64,43,0.10139,ok
clang-plainje,bfs,kron26,64,43,0.10603,ok
clang-chonk,bfs,kron26,64,43,0.09456,ok
clang-plain,bfs,kron26,64,44,0.08625,ok
clang-plainje,bfs,kron26,64,44,0.08806,ok
clang-chonk,bfs,kron26,64,44,0.10008,ok
clang-plain,bfs,kron26,64,45,0.09372,ok
clang-plainje,bfs,kron26,64,45,0.10199,ok
clang-chonk,bfs,kron26,64,45,0.09899,ok
clang-plain,bfs,kron26,64,46,0.10283,ok
clang-plainje,bfs,kron26,64,46,0.10843,ok
clang-chonk,bfs,kron26,64,46,0.10030,ok
clang-plain,bfs,kron26,64,47,0.08565,ok
clang-plainje,bfs,kron26,64,47,0.10678,ok
clang-chonk,bfs,kron26,64,47,0.09426,ok
clang-plain,bfs,kron26,64,48,0.09556,ok
clang-plainje,bfs,kron26,64,48,0.08809,ok
clang-chonk,bfs,kron26,64,48,0.10551,ok
clang-plain,bfs,kron26,64,49,0.08461,ok
clang-plainje,bfs,kron26,64,49,0.10870,ok
clang-chonk,bfs,kron26,64,49,0.09293,ok
clang-plain,bfs,kron26,64,50,0.09858,ok
clang-plainje,bfs,kron26,64,50,0.10340,ok
clang-chonk,bfs,kron26,64,50,0.09779,ok
clang-plain,cc,kron26,64,1,0.11343,ok
clang-plainje,cc,kron26,64,1,0.10900,ok
clang-chonk,cc,kron26,64,1,0.10974,ok
clang-plain,cc,kron26,64,2,0.11820,ok
clang-plainje,cc,kron26,64,2,0.11116,ok
clang-chonk,cc,kron26,64,2,0.11361,ok
clang-plain,cc,kron26,64,3,0.10684,ok
clang-plainje,cc,kron26,64,3,0.10980,ok
clang-chonk,cc,kron26,64,3,0.11587,ok
