config,app,input,threads,run,time_s,status
clang-plain,bfs,kron22,2,1,0.05883,ok
clang-plainje,bfs,kron22,2,1,0.05797,ok
clang-chonk,bfs,kron22,2,1,0.05712,ok
clang-plain,bfs,kron22,2,2,0.05854,ok
clang-plainje,bfs,kron22,2,2,0.05849,ok
clang-chonk,bfs,kron22,2,2,0.05693,ok
clang-plain,bfs,kron22,2,3,0.05850,ok
clang-plainje,bfs,kron22,2,3,0.05843,ok
clang-chonk,bfs,kron22,2,3,0.05643,ok
clang-plain,bfs,kron22,2,4,0.05849,ok
clang-plainje,bfs,kron22,2,4,0.05814,ok
clang-chonk,bfs,kron22,2,4,0.05624,ok
clang-plain,bfs,kron22,2,5,0.05816,ok
clang-plainje,bfs,kron22,2,5,0.05807,ok
clang-chonk,bfs,kron22,2,5,0.05654,ok
clang-plain,bfs,kron22,2,6,0.05814,ok
clang-plainje,bfs,kron22,2,6,0.05801,ok
clang-chonk,bfs,kron22,2,6,0.05586,ok
clang-plain,bfs,kron22,2,7,0.05806,ok
clang-plainje,bfs,kron22,2,7,0.05788,ok
clang-chonk,bfs,kron22,2,7,0.05634,ok
clang-plain,bfs,kron22,2,8,0.05785,ok
clang-plainje,bfs,kron22,2,8,0.05792,ok
clang-chonk,bfs,kron22,2,8,0.05628,ok
clang-plain,bfs,kron22,2,9,0.05780,ok
clang-plainje,bfs,kron22,2,9,0.05786,ok
clang-chonk,bfs,kron22,2,9,0.05634,ok
clang-plain,bfs,kron22,2,10,0.05787,ok
clang-plainje,bfs,kron22,2,10,0.05784,ok
clang-chonk,bfs,kron22,2,10,0.05560,ok
clang-plain,cc,kron22,2,1,0.10703,ok
clang-plainje,cc,kron22,2,1,0.09978,ok
clang-chonk,cc,kron22,2,1,0.10814,ok
clang-plain,cc,kron22,2,2,0.10050,ok
clang-plainje,cc,kron22,2,2,0.10707,ok
clang-chonk,cc,kron22,2,2,0.10037,ok
clang-plain,cc,kron22,2,3,0.10706,ok
clang-plainje,cc,kron22,2,3,0.10001,ok
clang-chonk,cc,kron22,2,3,0.10495,ok
clang-plain,cc,kron22,2,4,0.10089,ok
clang-plainje,cc,kron22,2,4,0.10726,ok
clang-chonk,cc,kron22,2,4,0.10096,ok
clang-plain,cc,kron22,2,5,0.10779,ok
clang-plainje,cc,kron22,2,5,0.10026,ok
clang-chonk,cc,kron22,2,5,0.10814,ok
clang-plain,cc,kron22,2,6,0.10076,ok
clang-plainje,cc,kron22,2,6,0.10779,ok
clang-chonk,cc,kron22,2,6,0.10050,ok
clang-plain,cc,kron22,2,7,0.10778,ok
clang-plainje,cc,kron22,2,7,0.10010,ok
clang-chonk,cc,kron22,2,7,0.10814,ok
clang-plain,cc,kron22,2,8,0.09529,ok
clang-plainje,cc,kron22,2,8,0.10714,ok
clang-chonk,cc,kron22,2,8,0.10088,ok
clang-plain,cc,kron22,2,9,0.10261,ok
clang-plainje,cc,kron22,2,9,0.10123,ok
clang-chonk,cc,kron22,2,9,0.10840,ok
clang-plain,cc,kron22,2,10,0.09999,ok
clang-plainje,cc,kron22,2,10,0.10148,ok
clang-chonk,cc,kron22,2,10,0.10220,ok
clang-plain,pr,kron22,2,1,0.64562,ok
clang-plainje,pr,kron22,2,1,0.59458,ok
clang-chonk,pr,kron22,2,1,0.65859,ok
clang-plain,pr,kron22,2,2,0.59836,ok
clang-plainje,pr,kron22,2,2,0.64061,ok
clang-chonk,pr,kron22,2,2,0.61257,ok
clang-plain,pr,kron22,2,3,0.61197,ok
clang-plainje,pr,kron22,2,3,0.66732,ok
clang-chonk,pr,kron22,2,3,0.60090,ok
clang-plain,pr,kron22,2,4,0.64397,ok
clang-plainje,pr,kron22,2,4,0.67121,ok
clang-chonk,pr,kron22,2,4,0.61153,ok
clang-plain,pr,kron22,2,5,0.64641,ok
clang-plainje,pr,kron22,2,5,0.59304,ok
clang-chonk,pr,kron22,2,5,0.59989,ok
