config,app,input,threads,run,time_s,status
clang-plain,cc,kron24,1,1,0.68054,ok
clang-plainje,cc,kron24,1,1,0.67999,ok
clang-chonk,cc,kron24,1,1,0.67698,ok
clang-plain,cc,kron24,1,2,0.68513,ok
clang-plainje,cc,kron24,1,2,0.67278,ok
clang-chonk,cc,kron24,1,2,0.68379,ok
clang-plain,cc,kron24,1,3,0.69145,ok
clang-plainje,cc,kron24,1,3,0.69246,ok
clang-chonk,cc,kron24,1,3,0.68523,ok
clang-plain,cc,kron24,1,4,0.69353,ok
clang-plainje,cc,kron24,1,4,0.67342,ok
clang-chonk,cc,kron24,1,4,0.68760,ok
clang-plain,cc,kron24,1,5,0.67064,ok
clang-plainje,cc,kron24,1,5,0.67029,ok
clang-chonk,cc,kron24,1,5,0.66383,ok
clang-plain,cc,kron24,1,6,0.67683,ok
clang-plainje,cc,kron24,1,6,0.67629,ok
clang-chonk,cc,kron24,1,6,0.66997,ok
clang-plain,cc,kron24,1,7,0.67968,ok
clang-plainje,cc,kron24,1,7,0.67333,ok
clang-chonk,cc,kron24,1,7,0.67793,ok
clang-plain,cc,kron24,1,8,0.68517,ok
clang-plainje,cc,kron24,1,8,0.68933,ok
clang-chonk,cc,kron24,1,8,0.68008,ok
clang-plain,cc,kron24,1,9,0.67352,ok
clang-plainje,cc,kron24,1,9,0.66934,ok
clang-chonk,cc,kron24,1,9,0.66594,ok
clang-plain,cc,kron24,1,10,0.67100,ok
clang-plainje,cc,kron24,1,10,0.66903,ok
clang-chonk,cc,kron24,1,10,0.66817,ok
clang-plain,bfs,kron24,1,1,0.42044,ok
clang-plainje,bfs,kron24,1,1,0.42467,ok
clang-chonk,bfs,kron24,1,1,0.43581,ok
clang-plain,bfs,kron24,1,2,0.41981,ok
clang-plainje,bfs,kron24,1,2,0.42587,ok
clang-chonk,bfs,kron24,1,2,0.43021,ok
