config,app,input,threads,run,time_s,status
clang-plain,cc,kron26,112,1,0.10564,ok
clang-plainje,cc,kron26,112,1,0.11537,ok
clang-chonk,cc,kron26,112,1,0.10926,ok
clang-plain,cc,kron26,112,2,0.13640,ok
clang-plainje,cc,kron26,112,2,0.13452,ok
clang-chonk,cc,kron26,112,2,0.13403,ok
clang-plain,cc,kron26,112,3,0.10840,ok
clang-plainje,cc,kron26,112,3,0.12633,ok
clang-chonk,cc,kron26,112,3,0.10320,ok
clang-plain,cc,kron26,112,4,0.13358,ok
clang-plainje,cc,kron26,112,4,0.11639,ok
clang-chonk,cc,kron26,112,4,0.10553,ok
clang-plain,cc,kron26,112,5,0.13562,ok
clang-plainje,cc,kron26,112,5,0.12149,ok
clang-chonk,cc,kron26,112,5,0.10243,ok
clang-plain,cc,kron26,112,6,0.11483,ok
clang-plainje,cc,kron26,112,6,0.11145,ok
clang-chonk,cc,kron26,112,6,0.10835,ok
clang-plain,cc,kron26,112,7,0.12476,ok
clang-plainje,cc,kron26,112,7,0.13184,ok
clang-chonk,cc,kron26,112,7,0.11040,ok
clang-plain,cc,kron26,112,8,0.12991,ok
clang-plainje,cc,kron26,112,8,0.10522,ok
clang-chonk,cc,kron26,112,8,0.13528,ok
clang-plain,cc,kron26,112,9,0.10787,ok
clang-plainje,cc,kron26,112,9,0.10874,ok
clang-chonk,cc,kron26,112,9,0.13372,ok
clang-plain,cc,kron26,112,10,0.12589,ok
clang-plainje,cc,kron26,112,10,0.11752,ok
clang-chonk,cc,kron26,112,10,0.11493,ok
clang-plain,bfs,kron26,112,1,0.11768,ok
clang-plainje,bfs,kron26,112,1,0.11867,ok
clang-chonk,bfs,kron26,112,1,0.10234,ok
clang-plain,bfs,kron26,112,2,0.12660,ok
clang-plainje,bfs,kron26,112,2,0.11169,ok
clang-chonk,bfs,kron26,112,2,0.10689,ok
clang-plain,bfs,kron26,112,3,0.13125,ok
clang-plainje,bfs,kron26,112,3,0.13804,ok
clang-chonk,bfs,kron26,112,3,0.11471,ok
clang-plain,bfs,kron26,112,4,0.11520,ok
clang-plainje,bfs,kron26,112,4,0.12017,ok
clang-chonk,bfs,kron26,112,4,0.09584,ok
clang-plain,bfs,kron26,112,5,0.11415,ok
clang-plainje,bfs,kron26,112,5,0.11562,ok
clang-chonk,bfs,kron26,112,5,0.10719,ok
clang-plain,bfs,kron26,112,6,0.11968,ok
clang-plainje,bfs,kron26,112,6,0.11810,ok
clang-chonk,bfs,kron26,112,6,0.11099,ok
clang-plain,bfs,kron26,112,7,0.09487,ok
clang-plainje,bfs,kron26,112,7,0.10950,ok
clang-chonk,bfs,kron26,112,7,0.11522,ok
clang-plain,bfs,kron26,112,8,0.11486,ok
clang-plainje,bfs,kron26,112,8,0.11691,ok
clang-chonk,bfs,kron26,112,8,0.10716,ok
clang-plain,bfs,kron26,112,9,0.10816,ok
clang-plainje,bfs,kron26,112,9,0.11287,ok
clang-chonk,bfs,kron26,112,9,0.12651,ok
clang-plain,bfs,kron26,112,10,0.11029,ok
clang-plainje,bfs,kron26,112,10,0.12466,ok
clang-chonk,bfs,kron26,112,10,0.11715,ok
clang-plain,cc,kron26,112,1,0.11261,ok
clang-plainje,cc,kron26,112,1,0.12906,ok
clang-chonk,cc,kron26,112,1,0.10861,ok
clang-plain,cc,kron26,112,2,0.11549,ok
clang-plainje,cc,kron26,112,2,0.11197,ok
clang-chonk,cc,kron26,112,2,0.11010,ok
clang-plain,cc,kron26,112,3,0.13316,ok
clang-plainje,cc,kron26,112,3,0.10123,ok
clang-chonk,cc,kron26,112,3,0.09819,ok
clang-plain,cc,kron26,112,4,0.14170,ok
clang-plainje,cc,kron26,112,4,0.10963,ok
clang-chonk,cc,kron26,112,4,0.12012,ok
clang-plain,cc,kron26,112,5,0.13360,ok
clang-plainje,cc,kron26,112,5,0.10104,ok
clang-chonk,cc,kron26,112,5,0.10506,ok
clang-plain,cc,kron26,112,6,0.12573,ok
clang-plainje,cc,kron26,112,6,0.10323,ok
clang-chonk,cc,kron26,112,6,0.11816,ok
clang-plain,cc,kron26,112,7,0.12080,ok
clang-plainje,cc,kron26,112,7,0.11806,ok
clang-chonk,cc,kron26,112,7,0.10470,ok
clang-plain,cc,kron26,112,8,0.15119,ok
clang-plainje,cc,kron26,112,8,0.10416,ok
clang-chonk,cc,kron26,112,8,0.10719,ok
