config,app,input,threads,run,time_s,status
clang-plain,bfs,kron22,96,1,0.00732,ok
clang-plainje,bfs,kron22,96,1,0.00864,ok
clang-chonk,bfs,kron22,96,1,0.00757,ok
clang-plain,bfs,kron22,96,2,0.00743,ok
clang-plainje,bfs,kron22,96,2,0.00763,ok
clang-chonk,bfs,kron22,96,2,0.00742,ok
clang-plain,bfs,kron22,96,3,0.00882,ok
clang-plainje,bfs,kron22,96,3,0.00743,ok
clang-chonk,bfs,kron22,96,3,0.00765,ok
clang-plain,bfs,kron22,96,4,0.00748,ok
clang-plainje,bfs,kron22,96,4,0.00758,ok
clang-chonk,bfs,kron22,96,4,0.00746,ok
clang-plain,bfs,kron22,96,5,0.00744,ok
clang-plainje,bfs,kron22,96,5,0.00758,ok
clang-chonk,bfs,kron22,96,5,0.00753,ok
clang-plain,bfs,kron22,96,6,0.00829,ok
clang-plainje,bfs,kron22,96,6,0.00740,ok
clang-chonk,bfs,kron22,96,6,0.00736,ok
clang-plain,bfs,kron22,96,7,0.00754,ok
clang-plainje,bfs,kron22,96,7,0.00748,ok
clang-chonk,bfs,kron22,96,7,0.00934,ok
clang-plain,bfs,kron22,96,8,0.00728,ok
clang-plainje,bfs,kron22,96,8,0.00746,ok
clang-chonk,bfs,kron22,96,8,0.00732,ok
clang-plain,bfs,kron22,96,9,0.00749,ok
clang-plainje,bfs,kron22,96,9,0.00734,ok
clang-chonk,bfs,kron22,96,9,0.00759,ok
clang-plain,bfs,kron22,96,10,0.00752,ok
clang-plainje,bfs,kron22,96,10,0.00747,ok
clang-chonk,bfs,kron22,96,10,0.00792,ok
clang-plain,bfs,kron22,96,11,0.00796,ok
clang-plainje,bfs,kron22,96,11,0.00758,ok
clang-chonk,bfs,kron22,96,11,0.00750,ok
clang-plain,bfs,kron22,96,12,0.00748,ok
clang-plainje,bfs,kron22,96,12,0.00906,ok
clang-chonk,bfs,kron22,96,12,0.00749,ok
clang-plain,bfs,kron22,96,13,0.00785,ok
clang-plainje,bfs,kron22,96,13,0.00761,ok
clang-chonk,bfs,kron22,96,13,0.00772,ok
clang-plain,bfs,kron22,96,14,0.00753,ok
clang-plainje,bfs,kron22,96,14,0.00745,ok
clang-chonk,bfs,kron22,96,14,0.00770,ok
clang-plain,bfs,kron22,96,15,0.00747,ok
clang-plainje,bfs,kron22,96,15,0.00795,ok
clang-chonk,bfs,kron22,96,15,0.00748,ok
clang-plain,bfs,kron22,96,16,0.00729,ok
clang-plainje,bfs,kron22,96,16,0.00745,ok
clang-chonk,bfs,kron22,96,16,0.00751,ok
clang-plain,bfs,kron22,96,17,0.00905,ok
clang-plainje,bfs,kron22,96,17,0.00747,ok
clang-chonk,bfs,kron22,96,17,0.00752,ok
clang-plain,bfs,kron22,96,18,0.00791,ok
clang-plainje,bfs,kron22,96,18,0.00757,ok
clang-chonk,bfs,kron22,96,18,0.00729,ok
clang-plain,bfs,kron22,96,19,0.00764,ok
clang-plainje,bfs,kron22,96,19,0.00750,ok
clang-chonk,bfs,kron22,96,19,0.00740,ok
clang-plain,bfs,kron22,96,20,0.00756,ok
clang-plainje,bfs,kron22,96,20,0.00760,ok
clang-chonk,bfs,kron22,96,20,0.00732,ok
clang-plain,bfs,kron22,96,21,0.00765,ok
clang-plainje,bfs,kron22,96,21,0.00732,ok
clang-chonk,bfs,kron22,96,21,0.00916,ok
