config,app,input,threads,run,time_s,status
clang-plain,bfs,kron26,16,1,0.20144,ok
clang-plainje,bfs,kron26,16,1,0.19891,ok
clang-chonk,bfs,kron26,16,1,0.19217,ok
clang-plain,bfs,kron26,16,2,0.19947,ok
clang-plainje,bfs,kron26,16,2,0.20543,ok
clang-chonk,bfs,kron26,16,2,0.19489,ok
clang-plain,bfs,kron26,16,3,0.20084,ok
clang-plainje,bfs,kron26,16,3,0.20462,ok
clang-chonk,bfs,kron26,16,3,0.19307,ok
clang-plain,bfs,kron26,16,4,0.19790,ok
clang-plainje,bfs,kron26,16,4,0.19964,ok
clang-chonk,bfs,kron26,16,4,0.20044,ok
clang-plain,bfs,kron26,16,5,0.19796,ok
clang-plainje,bfs,kron26,16,5,0.19501,ok
clang-chonk,bfs,kron26,16,5,0.19028,ok
clang-plain,bfs,kron26,16,6,0.19130,ok
clang-plainje,bfs,kron26,16,6,0.19061,ok
clang-chonk,bfs,kron26,16,6,0.18927,ok
clang-plain,bfs,kron26,16,7,0.20223,ok
clang-plainje,bfs,kron26,16,7,0.19676,ok
clang-chonk,bfs,kron26,16,7,0.20158,ok
clang-plain,bfs,kron26,16,8,0.20066,ok
clang-plainje,bfs,kron26,16,8,0.19786,ok
clang-chonk,bfs,kron26,16,8,0.19361,ok
clang-plain,bfs,kron26,16,9,0.20033,ok
clang-plainje,bfs,kron26,16,9,0.20512,ok
clang-chonk,bfs,kron26,16,9,0.19360,ok
clang-plain,bfs,kron26,16,10,0.19810,ok
clang-plainje,bfs,kron26,16,10,0.20273,ok
clang-chonk,bfs,kron26,16,10,0.20062,ok
clang-plain,bfs,kron26,16,11,0.19584,ok
clang-plainje,bfs,kron26,16,11,0.19259,ok
clang-chonk,bfs,kron26,16,11,0.19171,ok
clang-plain,bfs,kron26,16,12,0.19019,ok
clang-plainje,bfs,kron26,16,12,0.19594,ok
clang-chonk,bfs,kron26,16,12,0.18976,ok
clang-plain,bfs,kron26,16,13,0.19804,ok
clang-plainje,bfs,kron26,16,13,0.19152,ok
clang-chonk,bfs,kron26,16,13,0.19627,ok
clang-plain,bfs,kron26,16,14,0.20611,ok
clang-plainje,bfs,kron26,16,14,0.20729,ok
clang-chonk,bfs,kron26,16,14,0.19920,ok
clang-plain,bfs,kron26,16,15,0.19894,ok
clang-plainje,bfs,kron26,16,15,0.19813,ok
clang-chonk,bfs,kron26,16,15,0.19890,ok
clang-plain,bfs,kron26,16,16,0.19719,ok
clang-plainje,bfs,kron26,16,16,0.20606,ok
clang-chonk,bfs,kron26,16,16,0.19168,ok
clang-plain,bfs,kron26,16,17,0.19860,ok
clang-plainje,bfs,kron26,16,17,0.19190,ok
clang-chonk,bfs,kron26,16,17,0.19270,ok
clang-plain,bfs,kron26,16,18,0.20231,ok
clang-plainje,bfs,kron26,16,18,0.20263,ok
clang-chonk,bfs,kron26,16,18,0.19618,ok
clang-plain,bfs,kron26,16,19,0.20274,ok
clang-plainje,bfs,kron26,16,19,0.19923,ok
clang-chonk,bfs,kron26,16,19,0.20131,ok
clang-plain,bfs,kron26,16,20,0.19814,ok
clang-plainje,bfs,kron26,16,20,0.20102,ok
clang-chonk,bfs,kron26,16,20,0.19908,ok
clang-plain,bfs,kron26,16,21,0.19771,ok
clang-plainje,bfs,kron26,16,21,0.20366,ok
clang-chonk,bfs,kron26,16,21,0.19960,ok
clang-plain,bfs,kron26,16,22,0.19991,ok
clang-plainje,bfs,kron26,16,22,0.20249,ok
clang-chonk,bfs,kron26,16,22,0.19516,ok
clang-plain,bfs,kron26,16,23,0.20060,ok
clang-plainje,bfs,kron26,16,23,0.19888,ok
clang-chonk,bfs,kron26,16,23,0.20204,ok
clang-plain,bfs,kron26,16,24,0.19733,ok
clang-plainje,bfs,kron26,16,24,0.19547,ok
clang-chonk,bfs,kron26,16,24,0.19543,ok
clang-plain,bfs,kron26,16,25,0.19476,ok
clang-plainje,bfs,kron26,16,25,0.19725,ok
clang-chonk,bfs,kron26,16,25,0.19625,ok
clang-plain,bfs,kron26,16,26,0.19482,ok
clang-plainje,bfs,kron26,16,26,0.20269,ok
clang-chonk,bfs,kron26,16,26,0.19702,ok
clang-plain,bfs,kron26,16,27,0.20593,ok
clang-plainje,bfs,kron26,16,27,0.20180,ok
clang-chonk,bfs,kron26,16,27,0.19154,ok
clang-plain,bfs,kron26,16,28,0.20400,ok
clang-plainje,bfs,kron26,16,28,0.20234,ok
clang-chonk,bfs,kron26,16,28,0.19770,ok
clang-plain,bfs,kron26,16,29,0.19695,ok
clang-plainje,bfs,kron26,16,29,0.19501,ok
clang-chonk,bfs,kron26,16,29,0.19898,ok
clang-plain,bfs,kron26,16,30,0.19774,ok
clang-plainje,bfs,kron26,16,30,0.19614,ok
clang-chonk,bfs,kron26,16,30,0.19438,ok
clang-plain,bfs,kron26,16,31,0.20197,ok
clang-plainje,bfs,kron26,16,31,0.19366,ok
clang-chonk,bfs,kron26,16,31,0.20099,ok
clang-plain,bfs,kron26,16,32,0.19759,ok
clang-plainje,bfs,kron26,16,32,0.20294,ok
clang-chonk,bfs,kron26,16,32,0.20040,ok
clang-plain,bfs,kron26,16,33,0.19570,ok
clang-plainje,bfs,kron26,16,33,0.18998,ok
clang-chonk,bfs,kron26,16,33,0.19839,ok
clang-plain,bfs,kron26,16,34,0.20538,ok
clang-plainje,bfs,kron26,16,34,0.19758,ok
clang-chonk,bfs,kron26,16,34,0.19735,ok
clang-plain,bfs,kron26,16,35,0.20508,ok
clang-plainje,bfs,kron26,16,35,0.20051,ok
clang-chonk,bfs,kron26,16,35,0.19518,ok
clang-plain,bfs,kron26,16,36,0.19689,ok
