config,app,input,threads,run,time_s,status
clang-plain,bfs,kron22,112,1,0.01040,ok
clang-plainje,bfs,kron22,112,1,0.02046,ok
clang-chonk,bfs,kron22,112,1,0.01664,ok
clang-plain,bfs,kron22,112,2,0.01037,ok
clang-plainje,bfs,kron22,112,2,0.00972,ok
clang-chonk,bfs,kron22,112,2,0.01943,ok
clang-plain,bfs,kron22,112,3,0.01166,ok
clang-plainje,bfs,kron22,112,3,0.01727,ok
clang-chonk,bfs,kron22,112,3,0.01767,ok
clang-plain,bfs,kron22,112,4,0.01040,ok
clang-plainje,bfs,kron22,112,4,0.01024,ok
clang-chonk,bfs,kron22,112,4,0.01027,ok
clang-plain,bfs,kron22,112,5,0.02671,ok
clang-plainje,bfs,kron22,112,5,0.01158,ok
clang-chonk,bfs,kron22,112,5,0.01008,ok
clang-plain,bfs,kron22,112,6,0.01060,ok
clang-plainje,bfs,kron22,112,6,0.01936,ok
clang-chonk,bfs,kron22,112,6,0.01206,ok
clang-plain,bfs,kron22,112,7,0.01041,ok
clang-plainje,bfs,kron22,112,7,0.01034,ok
clang-chonk,bfs,kron22,112,7,0.01019,ok
clang-plain,bfs,kron22,112,8,0.01103,ok
clang-plainje,bfs,kron22,112,8,0.01048,ok
clang-chonk,bfs,kron22,112,8,0.00987,ok
clang-plain,bfs,kron22,112,9,0.02282,ok
clang-plainje,bfs,kron22,112,9,0.00953,ok
clang-chonk,bfs,kron22,112,9,0.00996,ok
clang-plain,bfs,kron22,112,10,0.01036,ok
clang-plainje,bfs,kron22,112,10,0.01116,ok
clang-chonk,bfs,kron22,112,10,0.02258,ok
clang-plain,cc,kron22,112,1,0.01161,ok
clang-plainje,cc,kron22,112,1,0.02906,ok
clang-chonk,cc,kron22,112,1,0.01170,ok
clang-plain,cc,kron22,112,2,0.01214,ok
clang-plainje,cc,kron22,112,2,0.01069,ok
clang-chonk,cc,kron22,112,2,0.01303,ok
clang-plain,cc,kron22,112,3,0.01131,ok
clang-plainje,cc,kron22,112,3,0.01610,ok
clang-chonk,cc,kron22,112,3,0.03153,ok
clang-plain,cc,kron22,112,4,0.01284,ok
clang-plainje,cc,kron22,112,4,0.02279,ok
clang-chonk,cc,kron22,112,4,0.01198,ok
clang-plain,cc,kron22,112,5,0.02357,ok
clang-plainje,cc,kron22,112,5,0.01529,ok
clang-chonk,cc,kron22,112,5,0.03509,ok
clang-plain,cc,kron22,112,6,0.04433,ok
clang-plainje,cc,kron22,112,6,0.01526,ok
clang-chonk,cc,kron22,112,6,0.01301,ok
clang-plain,cc,kron22,112,7,0.01201,ok
clang-plainje,cc,kron22,112,7,0.05223,ok
clang-chonk,cc,kron22,112,7,0.00976,ok
clang-plain,cc,kron22,112,8,0.01316,ok
clang-plainje,cc,kron22,112,8,0.03619,ok
clang-chonk,cc,kron22,112,8,0.01205,ok
clang-plain,cc,kron22,112,9,0.01447,ok
clang-plainje,cc,kron22,112,9,0.02710,ok
clang-chonk,cc,kron22,112,9,0.02584,ok
clang-plain,cc,kron22,112,10,0.02540,ok
clang-plainje,cc,kron22,112,10,0.01947,ok
clang-chonk,cc,kron22,112,10,0.01024,ok
clang-plain,pr,kron22,112,1,0.11582,ok
clang-plainje,pr,kron22,112,1,0.09123,ok
clang-chonk,pr,kron22,112,1,0.10626,ok
clang-plain,pr,kron22,112,2,0.10169,ok
