config,app,input,threads,run,time_s,status
clang-plain,bfs,kron24,32,1,0.02911,ok
clang-plainje,bfs,kron24,32,1,0.02881,ok
clang-chonk,bfs,kron24,32,1,0.02972,ok
clang-plain,bfs,kron24,32,2,0.02781,ok
clang-plainje,bfs,kron24,32,2,0.02857,ok
clang-chonk,bfs,kron24,32,2,0.02829,ok
clang-plain,bfs,kron24,32,3,0.02771,ok
clang-plainje,bfs,kron24,32,3,0.02813,ok
clang-chonk,bfs,kron24,32,3,0.02861,ok
clang-plain,bfs,kron24,32,4,0.02845,ok
clang-plainje,bfs,kron24,32,4,0.02758,ok
clang-chonk,bfs,kron24,32,4,0.02816,ok
clang-plain,bfs,kron24,32,5,0.02800,ok
clang-plainje,bfs,kron24,32,5,0.02796,ok
clang-chonk,bfs,kron24,32,5,0.02733,ok
clang-plain,bfs,kron24,32,6,0.02889,ok
clang-plainje,bfs,kron24,32,6,0.02756,ok
clang-chonk,bfs,kron24,32,6,0.02747,ok
clang-plain,bfs,kron24,32,7,0.02864,ok
clang-plainje,bfs,kron24,32,7,0.02814,ok
clang-chonk,bfs,kron24,32,7,0.02775,ok
clang-plain,bfs,kron24,32,8,0.02966,ok
clang-plainje,bfs,kron24,32,8,0.02882,ok
clang-chonk,bfs,kron24,32,8,0.02844,ok
clang-plain,bfs,kron24,32,9,0.02748,ok
clang-plainje,bfs,kron24,32,9,0.02828,ok
clang-chonk,bfs,kron24,32,9,0.02782,ok
clang-plain,bfs,kron24,32,10,0.02792,ok
clang-plainje,bfs,kron24,32,10,0.02979,ok
clang-chonk,bfs,kron24,32,10,0.02859,ok
clang-plain,cc,kron24,32,1,0.03777,ok
clang-plainje,cc,kron24,32,1,0.03875,ok
clang-chonk,cc,kron24,32,1,0.03761,ok
clang-plain,cc,kron24,32,2,0.03789,ok
clang-plainje,cc,kron24,32,2,0.03764,ok
clang-chonk,cc,kron24,32,2,0.03811,ok
clang-plain,cc,kron24,32,3,0.03795,ok
clang-plainje,cc,kron24,32,3,0.03776,ok
clang-chonk,cc,kron24,32,3,0.03718,ok
clang-plain,cc,kron24,32,4,0.03790,ok
clang-plainje,cc,kron24,32,4,0.03818,ok
clang-chonk,cc,kron24,32,4,0.03799,ok
clang-plain,cc,kron24,32,5,0.03829,ok
clang-plainje,cc,kron24,32,5,0.03762,ok
clang-chonk,cc,kron24,32,5,0.03809,ok
clang-plain,cc,kron24,32,6,0.03803,ok
clang-plainje,cc,kron24,32,6,0.03790,ok
clang-chonk,cc,kron24,32,6,0.03809,ok
clang-plain,cc,kron24,32,7,0.03807,ok
clang-plainje,cc,kron24,32,7,0.03785,ok
clang-chonk,cc,kron24,32,7,0.03777,ok
clang-plain,cc,kron24,32,8,0.03811,ok
clang-plainje,cc,kron24,32,8,0.03816,ok
clang-chonk,cc,kron24,32,8,0.03848,ok
clang-plain,cc,kron24,32,9,0.03777,ok
clang-plainje,cc,kron24,32,9,0.03717,ok
clang-chonk,cc,kron24,32,9,0.03810,ok
clang-plain,cc,kron24,32,10,0.03763,ok
clang-plainje,cc,kron24,32,10,0.03789,ok
clang-chonk,cc,kron24,32,10,0.03826,ok
clang-plain,pr,kron24,32,1,0.57239,ok
clang-plainje,pr,kron24,32,1,0.58817,ok
clang-chonk,pr,kron24,32,1,0.61563,ok
clang-plain,pr,kron24,32,2,0.59186,ok
clang-plainje,pr,kron24,32,2,0.59457,ok
clang-chonk,pr,kron24,32,2,0.63476,ok
clang-plain,pr,kron24,32,3,0.58870,ok
clang-plainje,pr,kron24,32,3,0.61057,ok
clang-chonk,pr,kron24,32,3,0.63068,ok
clang-plain,pr,kron24,32,4,0.58676,ok
clang-plainje,pr,kron24,32,4,0.57859,ok
clang-chonk,pr,kron24,32,4,0.57777,ok
clang-plain,pr,kron24,32,5,0.59397,ok
clang-plainje,pr,kron24,32,5,0.58545,ok
clang-chonk,pr,kron24,32,5,0.58616,ok
clang-plain,pr,kron24,32,6,0.60537,ok
clang-plainje,pr,kron24,32,6,0.58690,ok
clang-chonk,pr,kron24,32,6,0.58852,ok
clang-plain,pr,kron24,32,7,0.61067,ok
clang-plainje,pr,kron24,32,7,0.59760,ok
clang-chonk,pr,kron24,32,7,0.58475,ok
clang-plain,pr,kron24,32,8,0.59273,ok
clang-plainje,pr,kron24,32,8,0.59352,ok
clang-chonk,pr,kron24,32,8,0.60575,ok
clang-plain,pr,kron24,32,9,0.60161,ok
clang-plainje,pr,kron24,32,9,0.61413,ok
clang-chonk,pr,kron24,32,9,0.59021,ok
clang-plain,pr,kron24,32,10,0.60651,ok
