config,app,input,threads,run,cycles,l2_miss_stall_cycles,mpki,status
clang-plainje,sssp,kron24,64,2,3152793961445,1738808399747,29.1555,ok
clang-plain,sssp,kron24,64,3,3146365949048,1734908787090,29.2115,ok
clang-chonk,sssp,kron24,64,3,3016430120893,1635299070289,28.1325,ok
clang-plainje,sssp,kron24,64,3,3258027128227,1814281805816,29.6239,ok
clang-plain,sssp,kron24,64,4,3110050400962,1699697949099,28.7719,ok
clang-chonk,sssp,kron24,64,4,2350338654926,992876140544,25.8624,ok
clang-plainje,sssp,kron24,64,4,3229288607249,1802322176939,29.8989,ok
clang-plain,sssp,kron24,64,5,2366959269856,1017823688991,27.3853,ok
clang-chonk,sssp,kron24,64,5,3010508330042,1630215689321,28.3933,ok
clang-plainje,sssp,kron24,64,5,3153767852521,1726646122352,28.7338,ok
clang-plain,tc,kron24,64,2,4817351484304,405798858935,13.3493,ok
clang-chonk,tc,kron24,64,2,4888498424878,405363647556,12.9916,ok
clang-plainje,tc,kron24,64,2,4926098964273,512356711176,13.1326,ok
clang-plain,tc,kron24,64,3,4821050152053,429138408425,13.0510,ok
clang-chonk,tc,kron24,64,3,5020817446947,488182047128,12.6332,ok
clang-plainje,tc,kron24,64,3,4842795232987,421114735064,13.2030,ok
clang-plain,tc,kron24,64,4,4891961073588,439948579074,12.6565,ok
clang-chonk,tc,kron24,64,4,4948748504069,457404139796,13.0076,ok
clang-plainje,tc,kron24,64,4,4838385047733,420551408025,13.0887,ok
clang-plain,tc,kron24,64,5,4978252003855,471054422142,12.9663,ok
clang-chonk,tc,kron24,64,5,4934259542762,446512973368,13.1506,ok
clang-plainje,tc,kron24,64,5,4861915835106,428929464424,12.9420,ok
