config,app,input,threads,run,time_s,status
clang-plain,bfs,kron22,64,1,0.01415,ok
clang-plainje,bfs,kron22,64,1,0.01245,ok
clang-chonk,bfs,kron22,64,1,0.00988,ok
clang-plain,bfs,kron22,64,2,0.01340,ok
clang-plainje,bfs,kron22,64,2,0.01169,ok
clang-chonk,bfs,kron22,64,2,0.01051,ok
clang-plain,bfs,kron22,64,3,0.01191,ok
clang-plainje,bfs,kron22,64,3,0.01037,ok
clang-chonk,bfs,kron22,64,3,0.00956,ok
clang-plain,bfs,kron22,64,4,0.00890,ok
clang-plainje,bfs,kron22,64,4,0.01297,ok
clang-chonk,bfs,kron22,64,4,0.00941,ok
clang-plain,bfs,kron22,64,5,0.01328,ok
clang-plainje,bfs,kron22,64,5,0.01168,ok
clang-chonk,bfs,kron22,64,5,0.01031,ok
clang-plain,bfs,kron22,64,6,0.00981,ok
clang-plainje,bfs,kron22,64,6,0.00986,ok
clang-chonk,bfs,kron22,64,6,0.00958,ok
clang-plain,bfs,kron22,64,7,0.01067,ok
clang-plainje,bfs,kron22,64,7,0.01015,ok
clang-chonk,bfs,kron22,64,7,0.01251,ok
clang-plain,bfs,kron22,64,8,0.01088,ok
clang-plainje,bfs,kron22,64,8,0.01141,ok
clang-chonk,bfs,kron22,64,8,0.00940,ok
clang-plain,bfs,kron22,64,9,0.00973,ok
clang-plainje,bfs,kron22,64,9,0.01126,ok
clang-chonk,bfs,kron22,64,9,0.00935,ok
clang-plain,bfs,kron22,64,10,0.00933,ok
clang-plainje,bfs,kron22,64,10,0.01405,ok
clang-chonk,bfs,kron22,64,10,0.01073,ok
clang-plain,cc,kron22,64,1,0.01806,ok
clang-plainje,cc,kron22,64,1,0.01290,ok
clang-chonk,cc,kron22,64,1,0.01815,ok
clang-plain,cc,kron22,64,2,0.01384,ok
clang-plainje,cc,kron22,64,2,0.01497,ok
clang-chonk,cc,kron22,64,2,0.01079,ok
clang-plain,cc,kron22,64,3,0.01608,ok
clang-plainje,cc,kron22,64,3,0.01247,ok
clang-chonk,cc,kron22,64,3,0.01777,ok
clang-plain,cc,kron22,64,4,0.01354,ok
clang-plainje,cc,kron22,64,4,0.01625,ok
clang-chonk,cc,kron22,64,4,0.01187,ok
clang-plain,cc,kron22,64,5,0.01665,ok
clang-plainje,cc,kron22,64,5,0.01680,ok
clang-chonk,cc,kron22,64,5,0.01251,ok
clang-plain,cc,kron22,64,6,0.01628,ok
clang-plainje,cc,kron22,64,6,0.01207,ok
clang-chonk,cc,kron22,64,6,0.01179,ok
clang-plain,cc,kron22,64,7,0.01386,ok
clang-plainje,cc,kron22,64,7,0.01149,ok
clang-chonk,cc,kron22,64,7,0.01190,ok
clang-plain,cc,kron22,64,8,0.01581,ok
clang-plainje,cc,kron22,64,8,0.01155,ok
clang-chonk,cc,kron22,64,8,0.01262,ok
clang-plain,cc,kron22,64,9,0.01735,ok
clang-plainje,cc,kron22,64,9,0.01217,ok
clang-chonk,cc,kron22,64,9,0.01130,ok
clang-plain,cc,kron22,64,10,0.01217,ok
clang-plainje,cc,kron22,64,10,0.01614,ok
clang-chonk,cc,kron22,64,10,0.01131,ok
clang-plain,pr,kron22,64,1,0.11600,ok
clang-plainje,pr,kron22,64,1,0.11834,ok
clang-chonk,pr,kron22,64,1,0.11664,ok
clang-plain,pr,kron22,64,2,0.12009,ok
clang-plainje,pr,kron22,64,2,0.11531,ok
clang-chonk,pr,kron22,64,2,0.11110,ok
clang-plain,pr,kron22,64,3,0.11283,ok
clang-plainje,pr,kron22,64,3,0.11684,ok
clang-chonk,pr,kron22,64,3,0.11841,ok
clang-plain,pr,kron22,64,4,0.11091,ok
clang-plainje,pr,kron22,64,4,0.11937,ok
clang-chonk,pr,kron22,64,4,0.11362,ok
clang-plain,pr,kron22,64,5,0.10994,ok
clang-plainje,pr,kron22,64,5,0.12493,ok
clang-chonk,pr,kron22,64,5,0.11750,ok
clang-plain,pr,kron22,64,6,0.13003,ok
clang-plainje,pr,kron22,64,6,0.10695,ok
clang-chonk,pr,kron22,64,6,0.11587,ok
clang-plain,pr,kron22,64,7,0.11918,ok
clang-plainje,pr,kron22,64,7,0.11956,ok
clang-chonk,pr,kron22,64,7,0.11527,ok
clang-plain,pr,kron22,64,8,0.11932,ok
clang-plainje,pr,kron22,64,8,0.11533,ok
clang-chonk,pr,kron22,64,8,0.11627,ok
clang-plain,pr,kron22,64,9,0.11479,ok
clang-plainje,pr,kron22,64,9,0.11779,ok
clang-chonk,pr,kron22,64,9,0.12392,ok
clang-plain,pr,kron22,64,10,0.12243,ok
clang-plainje,pr,kron22,64,10,0.11068,ok
clang-chonk,pr,kron22,64,10,0.13172,ok
