config,app,input,threads,run,time_s,status
clang-plain,bfs,kron24,64,1,0.03295,ok
clang-plainje,bfs,kron24,64,1,0.02943,ok
clang-chonk,bfs,kron24,64,1,0.02756,ok
clang-plain,bfs,kron24,64,2,0.03168,ok
clang-plainje,bfs,kron24,64,2,0.03170,ok
clang-chonk,bfs,kron24,64,2,0.03380,ok
clang-plain,bfs,kron24,64,3,0.02895,ok
clang-plainje,bfs,kron24,64,3,0.02971,ok
clang-chonk,bfs,kron24,64,3,0.02782,ok
clang-plain,bfs,kron24,64,4,0.02882,ok
clang-plainje,bfs,kron24,64,4,0.03151,ok
clang-chonk,bfs,kron24,64,4,0.03013,ok
clang-plain,bfs,kron24,64,5,0.02919,ok
clang-plainje,bfs,kron24,64,5,0.02951,ok
clang-chonk,bfs,kron24,64,5,0.02772,ok
clang-plain,bfs,kron24,64,6,0.02939,ok
clang-plainje,bfs,kron24,64,6,0.03068,ok
clang-chonk,bfs,kron24,64,6,0.03217,ok
clang-plain,bfs,kron24,64,7,0.03370,ok
clang-plainje,bfs,kron24,64,7,0.03227,ok
clang-chonk,bfs,kron24,64,7,0.02720,ok
clang-plain,bfs,kron24,64,8,0.03108,ok
clang-plainje,bfs,kron24,64,8,0.03189,ok
clang-chonk,bfs,kron24,64,8,0.02779,ok
clang-plain,bfs,kron24,64,9,0.02903,ok
clang-plainje,bfs,kron24,64,9,0.03379,ok
clang-chonk,bfs,kron24,64,9,0.03066,ok
clang-plain,bfs,kron24,64,10,0.02948,ok
clang-plainje,bfs,kron24,64,10,0.03136,ok
clang-chonk,bfs,kron24,64,10,0.03036,ok
